Sample_ID	ClientName	SampleNumber	date_sampled	sample_matrix	technology	projectName	SampleName	LocationLat	LocationLon	LocationName	projectLink	AlternateName
3534	FSES Laboratory	A221516	9/22/22 10:07	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_I_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3436	FSES Laboratory	A221517	9/22/22 11:06	PSD-Air	LDPE	St. Helens Air 2021-2023	EO_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3541	FSES Laboratory	A221518	9/22/22 9:27	PSD-Air	LDPE	St. Helens Air 2021-2023	RC_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3521	FSES Laboratory	A221519	9/22/22 9:45	PSD-Air	LDPE	St. Helens Air 2021-2023	MP_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3489	FSES Laboratory	A221520	9/22/22 10:13	PSD-Air	LDPE	St. Helens Air 2021-2023	L_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3432	FSES Laboratory	A221521	9/22/22 8:36	PSD-Air	LDPE	St. Helens Air 2021-2023	C_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3454	FSES Laboratory	A221523	9/22/22 8:51	PSD-Air	LDPE	St. Helens Air 2021-2023	SW10_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3483	FSES Laboratory	A221525	9/22/22 8:46	PSD-Air	LDPE	St. Helens Air 2021-2023	NW10_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3464	FSES Laboratory	A221522	9/22/22 8:57	PSD-Air	LDPE	St. Helens Air 2021-2023	SE10_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3410	FSES Laboratory	A221524	9/22/22 8:40	PSD-Air	LDPE	St. Helens Air 2021-2023	NE10_01	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
