Chemical_ID,End_Point,Model,BMD10,BMD50,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag
3756,BRN_,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3756,LTRK,NULL,NULL,NULL,0,100,0.026992672,1,NULL,NULL,NULL
3756,NC__,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3756,SKIN,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3756,SM24,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3758,LTRK,NULL,NULL,NULL,0,59.6,0.011169196,1,NULL,NULL,NULL
3758,SM24,NULL,NULL,NULL,0,59.6,0,1,NULL,NULL,NULL
3759,AXIS,NULL,NULL,NULL,0,100,0.007685185,1,NULL,NULL,NULL
3759,BRN_,NULL,NULL,NULL,0,100,0.009585185,1,NULL,NULL,NULL
3759,LTRK,NULL,NULL,NULL,0,100,0.013334404,1,NULL,NULL,NULL
3759,MO24,NULL,NULL,NULL,0,100,0.049657937,1,NULL,NULL,NULL
3759,MUSC,NULL,NULL,NULL,0,100,0.017396738,1,NULL,NULL,NULL
3759,NC__,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3759,SKIN,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3759,SM24,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3760,ANY24,NULL,NULL,NULL,0,100,0.179539286,1,NULL,NULL,NULL
3760,AXIS,NULL,NULL,NULL,0,100,0.014493333,1,NULL,NULL,NULL
3760,DP24,NULL,NULL,NULL,x,100,0.076939888,1,NULL,NULL,NULL
3760,MO24,NULL,NULL,NULL,0,100,0.112480952,1,NULL,NULL,NULL
3760,MUSC,NULL,NULL,NULL,0,100,0.00036,1,NULL,NULL,NULL
3760,NC__,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3760,SKIN,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3760,SM24,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3760,TCHR,NULL,NULL,NULL,0,100,0.019670345,1,NULL,NULL,NULL
3761,AXIS,NULL,NULL,NULL,0,1,0.002647059,1,NULL,NULL,NULL
3761,ALL_BUT_MORT,NULL,NULL,NULL,0,1,0.009305789,1,NULL,NULL,NULL
3761,BRN_,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL
3761,CRAN,NULL,NULL,NULL,0,1,0.002647059,1,NULL,NULL,NULL
3761,DP24,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL
3761,EDEM,NULL,NULL,NULL,0,1,0.002647059,1,NULL,NULL,NULL
3761,LTRK,NULL,NULL,NULL,0,1,0.00665873,1,NULL,NULL,NULL
3761,MORT,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL
3761,MUSC,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL
3761,NC__,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL
3761,SKIN,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL
3761,SM24,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL
3761,TCHR,NULL,NULL,NULL,0,1,0.002647059,1,NULL,NULL,NULL
3762,BRN_,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3762,EDEM,NULL,NULL,NULL,0,100,0.007171429,1,NULL,NULL,NULL
3762,MO24,NULL,NULL,NULL,0,100,0.004416667,1,NULL,NULL,NULL
3762,MUSC,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3762,NC__,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3762,SKIN,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3762,SM24,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3762,TCHR,NULL,NULL,NULL,0,100,0,1,NULL,NULL,NULL
3758,ANY120,logistic,7.092,17.743,0,59.6,0.60099739,2,0,0,0
