Chemical_ID,End_Point,X_vals,Y_vals
3756,BRN_,NULL,NULL
3756,LTRK,NULL,NULL
3756,NC__,NULL,NULL
3756,SKIN,NULL,NULL
3756,SM24,NULL,NULL
3758,LTRK,NULL,NULL
3758,SM24,NULL,NULL
3759,AXIS,NULL,NULL
3759,BRN_,NULL,NULL
3759,LTRK,NULL,NULL
3759,MO24,NULL,NULL
3759,MUSC,NULL,NULL
3759,NC__,NULL,NULL
3759,SKIN,NULL,NULL
3759,SM24,NULL,NULL
3760,ANY24,NULL,NULL
3760,AXIS,NULL,NULL
3760,DP24,NULL,NULL
3760,MO24,NULL,NULL
3760,MUSC,NULL,NULL
3760,NC__,NULL,NULL
3760,SKIN,NULL,NULL
3760,SM24,NULL,NULL
3760,TCHR,NULL,NULL
3761,AXIS,NULL,NULL
3761,ALL_BUT_MORT,NULL,NULL
3761,BRN_,NULL,NULL
3761,CRAN,NULL,NULL
3761,DP24,NULL,NULL
3761,EDEM,NULL,NULL
3761,LTRK,NULL,NULL
3761,MORT,NULL,NULL
3761,MUSC,NULL,NULL
3761,NC__,NULL,NULL
3761,SKIN,NULL,NULL
3761,SM24,NULL,NULL
3761,TCHR,NULL,NULL
3762,BRN_,NULL,NULL
3762,EDEM,NULL,NULL
3762,MO24,NULL,NULL
3762,MUSC,NULL,NULL
3762,NC__,NULL,NULL
3762,SKIN,NULL,NULL
3762,SM24,NULL,NULL
3762,TCHR,NULL,NULL
3758,ANY120,0.0,0.11773252985930271
3758,ANY120,0.2777777777777778,0.12046366849351452
3758,ANY120,0.5555555555555556,0.12324931295223471
3758,ANY120,0.8333333333333334,0.1260901389417863
3758,ANY120,1.1111111111111112,0.12898681106660737
3758,ANY120,1.3888888888888888,0.13193998172713262
3758,ANY120,1.6666666666666667,0.13495028998589173
3758,ANY120,1.9444444444444446,0.13801836040257992
3758,ANY120,2.2222222222222223,0.1411448018389935
3758,ANY120,2.5,0.14433020623486265
3758,ANY120,2.7222222222222223,0.146921369296006
3758,ANY120,2.9444444444444446,0.1495509210985405
3758,ANY120,3.1666666666666665,0.1522191381126725
3758,ANY120,3.388888888888889,0.1549262879821822
3758,ANY120,3.611111111111111,0.1576726290858537
3758,ANY120,3.833333333333333,0.1604584100934351
3758,ANY120,4.055555555555555,0.16328386951655846
3758,ANY120,4.277777777777778,0.16614923525507622
3758,ANY120,4.5,0.16905472413930128
3758,ANY120,4.888888888888889,0.17423648675651257
3758,ANY120,5.277777777777778,0.17954275951460566
3758,ANY120,5.666666666666667,0.18497443282460307
3758,ANY120,6.055555555555555,0.19053226920782926
3758,ANY120,6.444444444444445,0.19621689558143882
3758,ANY120,6.833333333333334,0.20202879557499048
3758,ANY120,7.222222222222222,0.20796830191686017
3758,ANY120,7.611111111111111,0.2140355889316705
3758,ANY120,8.0,0.22023066519214915
3758,ANY120,8.688888888888888,0.23151786983796346
3758,ANY120,9.377777777777778,0.24320313780750447
3758,ANY120,10.066666666666666,0.25528226914606644
3758,ANY120,10.755555555555555,0.26774908120424684
3758,ANY120,11.444444444444443,0.2805953226948434
3758,ANY120,12.133333333333333,0.29381060527928227
3758,ANY120,12.822222222222221,0.30738235538726594
3758,ANY120,13.51111111111111,0.3212957887901406
3758,ANY120,14.2,0.33553391017204015
3758,ANY120,15.42222222222222,0.361533482364542
3758,ANY120,16.644444444444446,0.3883701657696601
3758,ANY120,17.866666666666667,0.41590127900639035
3758,ANY120,19.08888888888889,0.4439673861388225
3758,ANY120,20.31111111111111,0.4723956968832587
3758,ANY120,21.53333333333333,0.5010041592141886
3758,ANY120,22.755555555555556,0.5296060482436692
3758,ANY120,23.977777777777778,0.5580148103593651
3758,ANY120,25.2,0.5860488979495404
3758,ANY120,27.377777777777776,0.6345428896761298
3758,ANY120,29.555555555555554,0.68045346722285
3758,ANY120,31.733333333333334,0.7231132184981774
3758,ANY120,33.91111111111111,0.7620692369141039
3758,ANY120,36.08888888888889,0.7970824319976529
3758,ANY120,38.266666666666666,0.8281053873246548
3758,ANY120,40.44444444444444,0.8552467473411195
3758,ANY120,42.62222222222222,0.8787301912795548
3758,ANY120,44.8,0.8988544538977163
3758,ANY120,46.44444444444444,0.912030025754616
3758,ANY120,48.08888888888889,0.9236351147255127
3758,ANY120,49.733333333333334,0.933820339236887
3758,ANY120,51.37777777777778,0.9427313311897985
3758,ANY120,53.022222222222226,0.9505060654670086
3758,ANY120,54.666666666666664,0.9572731473271933
3758,ANY120,56.31111111111111,0.963150866015717
3758,ANY120,57.955555555555556,0.9682468370006485
3758,ANY120,59.6,0.9726580777907131
3758,MORT,0.0,0.05983017406238434
3758,MORT,0.2777777777777778,0.06075983579378518
3758,MORT,0.5555555555555556,0.061700756482068526
3758,MORT,0.8333333333333334,0.0626530149248005
3758,MORT,1.1111111111111112,0.0636166894902754
3758,MORT,1.3888888888888888,0.0645918580980618
3758,MORT,1.6666666666666667,0.06557859819942405
3758,MORT,1.9444444444444446,0.06657698675762462
3758,MORT,2.2222222222222223,0.06758710022811111
3758,MORT,2.5,0.06860901453859282
3758,MORT,2.7222222222222223,0.06943509326601463
3758,MORT,2.9444444444444446,0.07026881111887452
3758,MORT,3.1666666666666665,0.07111020619171435
3758,MORT,3.388888888888889,0.07195931633319448
3758,MORT,3.611111111111111,0.07281617913942236
3758,MORT,3.833333333333333,0.07368083194725857
3758,MORT,4.055555555555555,0.07455331182760284
3758,MORT,4.277777777777778,0.07543365557865972
3758,MORT,4.5,0.07632189971918593
3758,MORT,4.888888888888889,0.07789544609289827
