endpoints
MO24
DP24
SM24
NC24
MORT
YSE_
AXIS
EYE_
SNOU
JAW_
OTIC
PE__
BRAI
SOMI
PFIN
CFIN
PIG_
CIRC
TRUN
SWIM
NC__
TR__
DNC_
CRAN
EDEM
MUSC
LTRK
BRN_
SKIN
TCHR
