chemical.id,endpoint,ids,num.conc,flag,spearman,run.ttest,ttest.pval
54,SOMI,54 SOMI,6,4,0.33806170189140666,True,0.43577072400265726
54,SWIM,54 SWIM,6,1,,False,
54,TCHR,54 TCHR,6,1,-0.12344267996967354,False,
54,TOT_MORT,54 TOT_MORT,6,3,0.7714285714285715,True,0.2624847525644613
54,TRUN,54 TRUN,6,4,0.4857142857142857,True,0.416706521681285
54,TR__,54 TR__,6,4,0.2732295333235123,True,0.5458857988029255
54,YSE_,54 YSE_,6,1,-0.057977103565244846,False,
56,ALL_BUT_MORT,56 ALL_BUT_MORT,6,1,-0.2160246899469287,False,
56,ANY120,56 ANY120,6,1,-0.20701966780270628,False,
56,ANY24,56 ANY24,6,3,0.7715167498104596,True,0.304558784680535
56,AXIS,56 AXIS,6,1,0.14285714285714285,False,
56,BRAI,56 BRAI,6,4,0.3927922024247863,True,1.0
56,BRN_,56 BRN_,6,1,0.16903085094570333,False,
56,CFIN,56 CFIN,6,1,-0.24688535993934707,False,
56,CIRC,56 CIRC,6,1,,False,
56,CRAN,56 CRAN,6,4,0.49377071987869414,True,0.7488684500235265
56,DP24,56 DP24,6,1,,False,
56,EDEM,56 EDEM,6,1,0.16903085094570333,False,
56,EYE_,56 EYE_,6,4,0.6957252427829381,True,0.7282141390351444
56,JAW_,56 JAW_,6,4,0.6957252427829381,True,0.7282141390351444
56,LTRK,56 LTRK,6,1,-0.24688535993934707,False,
56,MO24,56 MO24,6,3,0.7715167498104596,True,0.304558784680535
56,MORT,56 MORT,6,1,0.13093073414159545,False,
56,MUSC,56 MUSC,6,4,0.3927922024247863,True,1.0
56,NC24,56 NC24,6,1,,False,
56,NC__,56 NC__,6,4,0.3927922024247863,True,1.0
56,OTIC,56 OTIC,6,1,0.09107651110783745,False,
56,PE__,56 PE__,6,4,0.5797710356524485,True,0.9722505771726315
56,PFIN,56 PFIN,6,4,0.5797710356524485,True,0.9722505771726315
56,PIG_,56 PIG_,6,1,,False,
56,SKIN,56 SKIN,6,1,,False,
56,SM24,56 SM24,6,1,,False,
56,SNOU,56 SNOU,6,4,0.6957252427829381,True,0.7282141390351444
56,SOMI,56 SOMI,6,4,0.3927922024247863,True,1.0
56,SWIM,56 SWIM,6,1,,False,
56,TCHR,56 TCHR,6,4,0.2704493615131253,True,1.0
56,TOT_MORT,56 TOT_MORT,6,2,0.9258200997725515,False,
56,TRUN,56 TRUN,6,1,0.10141851056742199,False,
56,TR__,56 TR__,6,4,0.2704493615131253,True,1.0
56,YSE_,56 YSE_,6,4,0.5797710356524485,True,0.9722505771726315
57,ALL_BUT_MORT,57 ALL_BUT_MORT,6,4,0.20291986247835694,True,0.5321841399400171
57,ANY120,57 ANY120,6,3,0.6982532518267537,True,0.18032827497174625
57,ANY24,57 ANY24,6,2,0.9276336570439175,False,
