Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,ids
51,ALL_BUT_MORT,Logistic,213.6396566282799,81.01883664061933,499.3214847885747,3.37421875,0.0,80.0,0.042177734375,4.0,0.0,1.0,1.0,51 ALL_BUT_MORT
51,DP24,Logistic,169.06340675475803,80.9861597640407,345.9052032623982,2.668252688172043,0.0,80.0,0.03335315860215054,4.0,0.0,1.0,1.0,51 DP24
51,MORT,Logistic,207.95347782627525,87.78399915643496,396.6228016442353,1.5254032258064516,0.0,80.0,0.019067540322580644,4.0,0.0,1.0,1.0,51 MORT
53,ALL_BUT_MORT,Log Probit,142.47692596563934,,354663488042931.44,4.01875,0.0,50.0,0.080375,4.0,0.0,1.0,1.0,53 ALL_BUT_MORT
53,ANY120,Quantal Linear,83.62904685347576,31.21631293430361,550.1799006722725,3.5437499999999993,0.0,50.0,0.07087499999999998,4.0,0.0,1.0,1.0,53 ANY120
53,AXIS,Log Probit,2178.1741530580202,,26583895954434.684,2.781350806451613,0.0,50.0,0.05562701612903226,4.0,0.0,1.0,1.0,53 AXIS
53,BRN_,Log Probit,3163.2575966399368,,66867987118289.625,2.6968749999999995,0.0,50.0,0.05393749999999999,4.0,0.0,1.0,1.0,53 BRN_
53,CFIN,Logistic,114.5341237597722,53.350398904452355,198.10550538542827,0.39677419354838706,0.0,50.0,0.00793548387096774,4.0,0.0,1.0,1.0,53 CFIN
53,CRAN,Quantal Linear,151.30706368510357,44.97330957561655,995.4209500335071,1.4687499999999998,0.0,50.0,0.029374999999999995,2.0,0.0,1.0,1.0,53 CRAN
53,EDEM,Log Probit,3163.2575966399368,,66867987118289.625,2.6968749999999995,0.0,50.0,0.05393749999999999,4.0,0.0,1.0,1.0,53 EDEM
53,EYE_,Quantal Linear,149.93580309255725,43.79975854317888,986.3996823640958,1.5161290322580645,0.0,50.0,0.03032258064516129,2.0,0.0,1.0,1.0,53 EYE_
53,JAW_,Quantal Linear,149.93580309255725,43.79975854317888,986.3996823640958,1.5161290322580645,0.0,50.0,0.03032258064516129,2.0,0.0,1.0,1.0,53 JAW_
53,LTRK,Logistic,114.55280610091961,53.76811848739286,196.92427978109302,0.38437499999999997,0.0,50.0,0.007687499999999999,4.0,0.0,1.0,1.0,53 LTRK
53,MUSC,Quantal Linear,113.87727530257315,50.121570291864955,749.1773537078735,1.309375,0.0,50.0,0.0261875,2.0,0.0,1.0,1.0,53 MUSC
53,PE__,Log Probit,35966.473862451734,,2.6091817683087725e+17,2.1555443548387094,0.0,50.0,0.043110887096774186,4.0,0.0,1.0,1.0,53 PE__
53,PFIN,Log Probit,2178.1741530580202,,26583895954434.684,2.781350806451613,0.0,50.0,0.05562701612903226,4.0,0.0,1.0,1.0,53 PFIN
53,SNOU,Quantal Linear,149.93580309255725,43.79975854317888,986.3996823640958,1.5161290322580645,0.0,50.0,0.03032258064516129,2.0,0.0,1.0,1.0,53 SNOU
53,SOMI,Quantal Linear,110.29821672001951,48.54629519112577,725.6313948629801,1.3516129032258064,0.0,50.0,0.02703225806451613,2.0,0.0,1.0,1.0,53 SOMI
53,TCHR,Quantal Linear,171.83083415692647,64.76482850154224,1130.4430078526289,0.703125,0.0,50.0,0.0140625,4.0,0.0,1.0,1.0,53 TCHR
53,TR__,Quantal Linear,166.45833503148236,62.74216366243256,1095.098338190453,0.7258064516129032,0.0,50.0,0.014516129032258065,4.0,0.0,1.0,1.0,53 TR__
53,YSE_,Log Probit,2178.1741530580202,,26583895954434.684,2.781350806451613,0.0,50.0,0.05562701612903226,4.0,0.0,1.0,1.0,53 YSE_
54,ANY120,Log Probit,4.028678388782229,,6.294440668962794,0.599375,0.0,5.0,0.119875,4.0,0.0,0.0,1.0,54 ANY120
54,ANY24,Quantal Linear,1.1553727100839308,0.7924552906812394,7.600981558323385,1.331875,0.0,5.0,0.266375,3.0,0.0,0.0,1.0,54 ANY24
54,AXIS,Logistic,15.269939041490936,3.323080407770506,42.99407942528327,0.27650528611173775,0.0,5.0,0.05530105722234755,4.0,0.0,1.0,1.0,54 AXIS
54,CFIN,Logistic,159.68442124508104,,458.9809459296282,0.31882851843497007,0.0,5.0,0.06376570368699401,4.0,0.0,1.0,1.0,54 CFIN
54,MO24,Quantal Linear,1.1553727100839308,0.7924552906812394,7.600981558323385,1.331875,0.0,5.0,0.266375,3.0,0.0,0.0,1.0,54 MO24
54,MORT,Logistic,2.928663622144303,2.3456881387049187,5.618105701195085,0.5838721804511277,0.0,5.0,0.11677443609022553,4.0,0.0,0.0,1.0,54 MORT
54,MUSC,Logistic,13.505909124761674,5.508022823614773,23.597232735020793,0.0303125,0.0,5.0,0.0060625,4.0,0.0,1.0,1.0,54 MUSC
54,OTIC,Logistic,13.410389346279244,4.028355237222163,29.124517570537787,0.10669110459433041,0.0,5.0,0.021338220918866082,4.0,0.0,1.0,1.0,54 OTIC
54,SOMI,Logistic,6.9375304451526585,4.024288481091835,12.161800996653598,0.07378787878787879,0.0,5.0,0.014757575757575758,4.0,0.0,1.0,1.0,54 SOMI
54,TOT_MORT,Logistic,1.3390799331758196,1.1011938215119073,4.264784263154635,1.696875,0.0,5.0,0.339375,3.0,0.0,0.0,0.0,54 TOT_MORT
54,TRUN,Logistic,4.939761427633426,2.955927429971977,11.38935980687782,0.2818465047497305,0.0,5.0,0.0563693009499461,4.0,0.0,0.0,1.0,54 TRUN
