,ALL_BUT_MORT,ANY120,ANY24,AXIS,BRN_,CRAN,DP24,EDEM,LTRK,MO24,MORT,MUSC,NC24,NC__,SKIN,SM24,TCHR,TOT_MORT
503,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
504,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
511,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
512,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
513,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
514,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1
515,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
517,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
557,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0
560,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0
581,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0
585,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
596,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
597,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
599,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
601,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
602,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
606,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
607,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
609,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1
618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
667,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
674,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
689,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0
691,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
694,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
697,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
702,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
721,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
722,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
740,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
741,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
746,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1
747,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1
768,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
769,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
770,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
771,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1
774,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1
775,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1
778,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
946,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1
947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
949,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1
951,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
952,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
961,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0
965,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
966,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
998,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
1030,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1031,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
1105,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1114,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
1119,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
1161,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1
1163,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
1166,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
1167,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0
1171,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1
1172,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
1174,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1175,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1
1176,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1177,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1
1178,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1179,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
1180,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1
1182,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
1183,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1187,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1211,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1
1221,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
1268,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1271,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
1273,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1307,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1316,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
1327,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1354,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1363,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1370,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
1371,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1383,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
1391,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
1449,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1450,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1454,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1455,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
1532,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1535,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1
1540,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
1595,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0
1600,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1603,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1606,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
1608,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
1610,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1
1611,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
1612,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1613,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
1614,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
1615,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1616,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
1617,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1620,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1
1627,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1629,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
1631,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1651,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
1664,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1666,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
1670,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1677,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
1689,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
1694,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1706,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1762,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1764,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
1770,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
1771,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1
1790,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1796,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1807,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
1808,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
1809,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1816,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0
1827,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1845,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1846,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1
1853,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0
1854,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1
1855,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1
1861,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
1890,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0
1912,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1929,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0
1930,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
1944,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1961,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
1965,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
1967,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1
1968,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1982,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
2058,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
2067,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1
2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1
2104,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0
2105,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2141,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
2142,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1
2154,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
2156,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0
2159,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
2165,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
2185,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
2186,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2187,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0
2191,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2323,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2325,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1
2326,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2327,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
2328,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2371,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2374,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2406,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1
2411,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2413,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2414,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
2415,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2432,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
2467,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2496,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2509,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
2532,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1
2573,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2596,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2601,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
2635,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
2637,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2638,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2655,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1
2657,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1
2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2686,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2691,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
2706,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
2723,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0
2726,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1
2739,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1
2740,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1
2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2751,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
2752,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1
2770,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0
2772,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2774,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
2778,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
2813,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1
2827,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2877,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
2886,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2896,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
2915,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
2960,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
2973,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1
2989,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1
3002,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1
3004,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
3005,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
3009,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3012,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3091,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
3102,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
3104,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
3114,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3138,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1
3139,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
3140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3144,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1
3147,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3151,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
3160,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0
3168,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3272,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
3273,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0
3411,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
3412,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
3413,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
3689,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0
3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3757,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1
3758,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
3759,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
3760,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
