Chemical_ID,End_Point,Dose,Response,CI_Lo,CI_Hi
53,NC__,0.0,0.0,0.0,0.12064330476584564
53,NC__,1.0,0.0,0.0,0.1071791982550706
53,NC__,5.0,0.0,0.0,0.11025539546043595
53,NC__,11.2,0.0,0.0,0.11025539546043595
53,NC__,35.6,0.0,0.0,0.11025539546043595
53,NC__,50.0,0.0,0.0,0.11025539546043595
53,MO24,0.0,0.09375,0.061348448701633834,0.14843154728387867
53,MO24,1.0,0.0,0.0,0.1071791982550706
53,MO24,5.0,0.03125,0.025712139835996878,0.12619263820012558
53,MO24,11.2,0.03125,0.025712139835996878,0.12619263820012558
53,MO24,35.6,0.0,0.0,0.1071791982550706
53,MO24,50.0,0.0,0.0,0.1071791982550706
53,DP24,0.0,0.0,6.938893903907228e-18,0.11696979849974073
53,DP24,1.0,0.0625,0.04518943296835905,0.13897123144154583
53,DP24,5.0,0.0967741935483871,0.0633095493851897,0.15222519088554123
53,DP24,11.2,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,DP24,35.6,0.09375,0.061348448701633834,0.14843154728387867
53,DP24,50.0,0.03125,0.025712139835996878,0.12619263820012558
53,SM24,0.0,0.0,6.938893903907228e-18,0.11696979849974073
53,SM24,1.0,0.0,0.0,0.1071791982550706
53,SM24,5.0,0.0,0.0,0.11025539546043595
53,SM24,11.2,0.0,0.0,0.11025539546043595
53,SM24,35.6,0.0,0.0,0.1071791982550706
53,SM24,50.0,0.0,0.0,0.1071791982550706
53,MORT,0.0,0.034482758620689655,0.028369544327926974,0.13727246017251316
53,MORT,1.0,0.0,0.0,0.1071791982550706
53,MORT,5.0,0.0,0.0,0.11025539546043595
53,MORT,11.2,0.0,0.0,0.11025539546043595
53,MORT,35.6,0.03125,0.025712139835996878,0.12619263820012558
53,MORT,50.0,0.03125,0.025712139835996878,0.12619263820012558
54,AXIS,0.0,0.038461538461538464,0.031639553467995005,0.1504662505688091
54,AXIS,0.1,0.06666666666666667,0.04818964287539629,0.14656791695950255
54,AXIS,0.5,0.12903225806451613,0.07768941431822465,0.15949180449854805
54,AXIS,1.12,0.04,0.03290376649801272,0.15544063736193733
54,AXIS,3.56,0.0,1.3877787807814457e-17,0.17587922364665765
54,NC__,0.0,0.0,0.0,0.1287289218592153
54,NC__,0.1,0.0,0.0,0.11351339317396875
54,NC__,0.5,0.0,0.0,0.11025539546043595
54,NC__,1.12,0.0,1.3877787807814457e-17,0.13319225093904846
54,NC__,3.56,0.0,1.3877787807814457e-17,0.17587922364665765
54,DP24,0.0,0.0,0.0,0.12064330476584564
54,DP24,0.1,0.0,0.0,0.11351339317396875
54,DP24,0.5,0.0,0.0,0.11025539546043595
54,DP24,1.12,0.0,1.3877787807814457e-17,0.13319225093904846
54,DP24,3.56,0.0,0.0,0.15463901892484697
54,DP24,5.0,0.0,0.0,0.16817922405261626
54,SM24,0.0,0.0,0.0,0.12064330476584564
54,SM24,0.1,0.0,0.0,0.11351339317396875
54,SM24,0.5,0.0,0.0,0.11025539546043595
54,SM24,1.12,0.0,1.3877787807814457e-17,0.13319225093904846
54,SM24,3.56,0.0,0.0,0.15463901892484697
54,SM24,5.0,0.0,0.0,0.16817922405261626
