Chemical_ID,End_Point,Model,BMD10,BMD50,AUC_Norm,BMD10_Flag,BMD50_Flag
163,SM24,NULL,NULL,NULL,0,NULL,NULL
163,MORT,NULL,NULL,NULL,0.119846875,NULL,NULL
165,AXIS,NULL,NULL,NULL,0.000188547,NULL,NULL
165,NC__,NULL,NULL,NULL,0,NULL,NULL
165,MO24,NULL,NULL,NULL,0.168426563,NULL,NULL
165,DP24,NULL,NULL,NULL,0.020018042,NULL,NULL
165,SM24,NULL,NULL,NULL,0,NULL,NULL
165,MORT,NULL,NULL,NULL,0.184192188,NULL,NULL
172,AXIS,NULL,NULL,NULL,0.004714286,NULL,NULL
172,NC__,NULL,NULL,NULL,0,NULL,NULL
172,MO24,NULL,NULL,NULL,0.12009375,NULL,NULL
172,DP24,NULL,NULL,NULL,0.07988834,NULL,NULL
172,SM24,NULL,NULL,NULL,0.019880208,NULL,NULL
172,MORT,NULL,NULL,NULL,0.304078125,NULL,NULL
176,AXIS,NULL,NULL,NULL,0.003685897,NULL,NULL
176,NC__,NULL,NULL,NULL,3.85E-05,NULL,NULL
176,MO24,NULL,NULL,NULL,0.111072329,NULL,NULL
176,DP24,logistic,132.276,222.619,0.033900632,1,1
176,SM24,NULL,NULL,NULL,0,NULL,NULL
176,MORT,NULL,NULL,NULL,0.14291502,NULL,NULL
197,AXIS,NULL,NULL,NULL,1.79E-06,NULL,NULL
197,NC__,NULL,NULL,NULL,0,NULL,NULL
197,MO24,NULL,NULL,NULL,0.049979688,NULL,NULL
197,DP24,NULL,NULL,NULL,0.061096409,NULL,NULL
197,SM24,NULL,NULL,NULL,0.00017069,NULL,NULL
197,MORT,NULL,NULL,NULL,0.22676875,NULL,NULL
220,AXIS,logistic,4.512,4.623,0.023809524,1,1
220,NC__,NULL,NULL,NULL,0,NULL,NULL
220,MO24,log_logistic,10.103,12.607,0.607843137,0,0
220,DP24,log_logistic,4.571,5.946,0.301068576,0,0
220,SM24,NULL,NULL,NULL,0,NULL,NULL
220,MORT,logistic,5.189,6.353,0.248048293,0,0
227,AXIS,probit,3.661,10.116,0.279156174,0,0
227,NC__,NULL,NULL,NULL,0,NULL,NULL
227,MO24,logistic,8.422,13.954,0.5973125,0,0
227,DP24,log_logistic,3.522,5.622,0.433104396,0,0
227,SM24,NULL,NULL,NULL,0,NULL,NULL
227,MORT,log_logistic,4.722,17.137,0.145879121,0,1
246,AXIS,NULL,NULL,NULL,0.048162744,NULL,NULL
246,NC__,NULL,NULL,NULL,0,NULL,NULL
246,MO24,logistic,104.274,174.8,0.029375,1,1
246,DP24,logistic,32.135,42.525,0.144967742,0,0
246,SM24,NULL,NULL,NULL,0,NULL,NULL
246,MORT,logistic,33.013,42.642,0.155483871,0,0
247,AXIS,logistic,5.095,5.259,0.016666667,1,1
247,NC__,NULL,NULL,NULL,0,NULL,NULL
247,MO24,logistic,7.738,15.17,0.589,0,0
247,DP24,log_logistic,4.07,8.869,0.259485127,0,0
247,SM24,NULL,NULL,NULL,0,NULL,NULL
247,MORT,probit,4.243,9.853,0.250327618,0,0
248,AXIS,logistic,5.075,5.25,0.021052632,1,1
248,NC__,NULL,NULL,NULL,0,NULL,NULL
248,MO24,log_logistic,5.615,18.73,0.54825,0,0
248,DP24,NULL,NULL,NULL,0,NULL,NULL
248,SM24,NULL,NULL,NULL,0,NULL,NULL
248,MORT,logistic,2.77,4.741,0.467003888,0,0
250,AXIS,NULL,NULL,NULL,0.022608468,NULL,NULL
