Chemical_ID,End_Point,X_vals,Y_vals
1031,NC24,1.8888888888888888,0.001062567827075474
1031,NC24,2.333333333333333,0.0011001097914473059
1031,NC24,2.7777777777777777,0.0011389766520496112
1031,NC24,3.2222222222222223,0.0011792150571486135
1031,NC24,3.6666666666666665,0.0012208732896306553
1031,NC24,4.111111111111111,0.0012640013237191633
1031,NC24,4.555555555555555,0.0013086508836190084
1031,NC24,5.0,0.0013548755041508228
1031,NC24,5.688888888888889,0.0014297665761941751
1031,NC24,6.377777777777777,0.00150879101610695
1031,NC24,7.066666666666666,0.0015921762412344988
1031,NC24,7.755555555555555,0.0016801621007207156
1031,NC24,8.444444444444443,0.001773001545927525
1031,NC24,9.133333333333333,0.0018709613359645
1031,NC24,9.822222222222221,0.0019743227800475124
1031,NC24,10.51111111111111,0.0020833825184754383
1031,NC24,11.2,0.002198453344085175
1031,NC24,13.911111111111111,0.002716286133444911
1031,NC24,16.62222222222222,0.003355681196243642
1031,NC24,19.333333333333332,0.0041449599028463
1031,NC24,22.044444444444444,0.005118928754659879
1031,NC24,24.755555555555556,0.006320305073239827
1031,NC24,27.466666666666665,0.007801424939060445
1031,NC24,30.177777777777777,0.009626272584831527
1031,NC24,32.888888888888886,0.01187286633709775
1031,NC24,35.6,0.014636025014034536
1031,NC24,37.2,0.016554694035402506
1031,NC24,38.800000000000004,0.01872010717210157
1031,NC24,40.4,0.021162668988270055
1031,NC24,42.0,0.023916163839600744
1031,NC24,43.6,0.027018029760219938
1031,NC24,45.2,0.03050962494803606
1031,NC24,46.8,0.0344364760021918
1031,NC24,48.4,0.03884849386226322
1031,NC24,50.0,0.04380013965601052
1105,NC24,NULL,NULL
1114,NC24,NULL,NULL
1119,NC24,NULL,NULL
1161,NC24,NULL,NULL
1163,NC24,NULL,NULL
1166,NC24,NULL,NULL
1167,NC24,NULL,NULL
1171,NC24,NULL,NULL
1172,NC24,NULL,NULL
1174,NC24,NULL,NULL
1175,NC24,NULL,NULL
1176,NC24,NULL,NULL
1177,NC24,NULL,NULL
1178,NC24,NULL,NULL
1179,NC24,NULL,NULL
1180,NC24,NULL,NULL
1182,NC24,NULL,NULL
1183,NC24,NULL,NULL
1187,NC24,NULL,NULL
1211,NC24,NULL,NULL
1221,NC24,NULL,NULL
1268,NC24,NULL,NULL
1271,NC24,NULL,NULL
1273,NC24,NULL,NULL
1307,NC24,NULL,NULL
1310,NC24,NULL,NULL
1316,NC24,NULL,NULL
1327,NC24,NULL,NULL
1354,NC24,NULL,NULL
1363,NC24,NULL,NULL
1370,NC24,NULL,NULL
1371,NC24,NULL,NULL
1383,NC24,NULL,NULL
1391,NC24,NULL,NULL
1449,NC24,NULL,NULL
1450,NC24,NULL,NULL
1454,NC24,NULL,NULL
1455,NC24,NULL,NULL
1532,NC24,NULL,NULL
1535,NC24,NULL,NULL
1540,NC24,NULL,NULL
1595,NC24,NULL,NULL
1600,NC24,NULL,NULL
1603,NC24,NULL,NULL
1606,NC24,NULL,NULL
1608,NC24,NULL,NULL
1610,NC24,NULL,NULL
1611,NC24,NULL,NULL
1612,NC24,NULL,NULL
1613,NC24,NULL,NULL
1614,NC24,NULL,NULL
1615,NC24,NULL,NULL
1616,NC24,NULL,NULL
1617,NC24,NULL,NULL
1618,NC24,NULL,NULL
1619,NC24,NULL,NULL
1620,NC24,NULL,NULL
1627,NC24,NULL,NULL
1629,NC24,NULL,NULL
1631,NC24,NULL,NULL
1651,NC24,NULL,NULL
1664,NC24,NULL,NULL
1666,NC24,NULL,NULL
1670,NC24,NULL,NULL
1677,NC24,NULL,NULL
1689,NC24,NULL,NULL
1694,NC24,NULL,NULL
1704,NC24,NULL,NULL
1706,NC24,NULL,NULL
1762,NC24,NULL,NULL
1764,NC24,NULL,NULL
1770,NC24,NULL,NULL
1771,NC24,NULL,NULL
1790,NC24,NULL,NULL
1796,NC24,NULL,NULL
1807,NC24,NULL,NULL
1808,NC24,NULL,NULL
1809,NC24,NULL,NULL
1816,NC24,NULL,NULL
1827,NC24,NULL,NULL
1845,NC24,NULL,NULL
1846,NC24,NULL,NULL
1853,NC24,NULL,NULL
1854,NC24,NULL,NULL
1855,NC24,0.0,5.751163807569305e-55
1855,NC24,0.1111111111111111,7.534246766313332e-55
1855,NC24,0.2222222222222222,9.870154326154562e-55
1855,NC24,0.3333333333333333,1.2930283470098748e-54
1855,NC24,0.4444444444444444,1.6939170867275568e-54
1855,NC24,0.5555555555555556,2.219096822852268e-54
1855,NC24,0.6666666666666666,2.907102565867865e-54
1855,NC24,0.7777777777777777,3.808416668188808e-54
1855,NC24,0.8888888888888888,4.9891729617075354e-54
1855,NC24,1.0,6.536009321078606e-54
1855,NC24,1.4444444444444444,1.9250812945745177e-53
1855,NC24,1.8888888888888888,5.670031679375157e-53
1855,NC24,2.333333333333333,1.6700208627928877e-52
1855,NC24,2.7777777777777777,4.918790299370689e-52
1855,NC24,3.2222222222222223,1.4487542370411536e-51
1855,NC24,3.6666666666666665,4.267083391648547e-51
1855,NC24,4.111111111111111,1.2568039634154947e-50
1855,NC24,4.555555555555555,3.701723302498312e-50
1855,NC24,5.0,1.090285820791045e-49
1855,NC24,5.688888888888889,5.8170366698036195e-49
1855,NC24,6.377777777777777,3.1035821041210326e-48
1855,NC24,7.066666666666666,1.6558640462112904e-47
1855,NC24,7.755555555555555,8.834584191906593e-47
1855,NC24,8.444444444444443,4.713543845732285e-46
1855,NC24,9.133333333333333,2.5148320626107402e-45
1855,NC24,9.822222222222221,1.341746361150596e-44
1855,NC24,10.51111111111111,7.158662100847797e-44
1855,NC24,11.2,3.819383793980977e-43
1855,NC24,13.911111111111111,2.7779563003078922e-40
1855,NC24,16.62222222222222,2.0204937818979363e-37
1855,NC24,19.333333333333332,1.4695677978216422e-34
1855,NC24,22.044444444444444,1.0688622413703835e-31
1855,NC24,24.755555555555556,7.774166613618042e-29
1855,NC24,27.466666666666665,5.654392511686684e-26
1855,NC24,30.177777777777777,4.112615057697976e-23
1855,NC24,32.888888888888886,2.991232493649237e-20
1855,NC24,35.6,2.175616172565267e-17
1855,NC24,37.2,1.0628533824787584e-15
1855,NC24,38.800000000000004,5.19235574221028e-14
1855,NC24,40.4,2.536620628775814e-12
1855,NC24,42.0,1.239214825220569e-10
1855,NC24,43.6,6.0539339493880936e-09
1855,NC24,45.2,2.9575264205602116e-07
1855,NC24,46.8,1.4448194090774277e-05
1855,NC24,48.4,0.0007053496982268957
1855,NC24,50.0,0.03333333339497241
1861,NC24,NULL,NULL
1890,NC24,NULL,NULL
1906,NC24,NULL,NULL
1912,NC24,NULL,NULL
1929,NC24,NULL,NULL
1930,NC24,NULL,NULL
1944,NC24,NULL,NULL
1961,NC24,NULL,NULL
1965,NC24,NULL,NULL
1968,NC24,NULL,NULL
1982,NC24,NULL,NULL
2058,NC24,NULL,NULL
2067,NC24,NULL,NULL
2098,NC24,NULL,NULL
2103,NC24,NULL,NULL
2104,NC24,NULL,NULL
2105,NC24,NULL,NULL
2137,NC24,NULL,NULL
2141,NC24,NULL,NULL
2142,NC24,NULL,NULL
2154,NC24,NULL,NULL
2156,NC24,NULL,NULL
2159,NC24,NULL,NULL
2165,NC24,NULL,NULL
2185,NC24,NULL,NULL
2186,NC24,NULL,NULL
2187,NC24,NULL,NULL
2191,NC24,NULL,NULL
2323,NC24,NULL,NULL
2324,NC24,NULL,NULL
2325,NC24,NULL,NULL
2326,NC24,NULL,NULL
2327,NC24,0.0,4.289426521339735e-55
2327,NC24,0.011111111111111112,5.622144273907273e-55
2327,NC24,0.022222222222222223,7.36893523630192e-55
2327,NC24,0.03333333333333333,9.658451272555669e-55
2327,NC24,0.044444444444444446,1.2659316168878246e-54
2327,NC24,0.05555555555555556,1.6592544844015882e-54
2327,NC24,0.06666666666666667,2.1747821187806997e-54
2327,NC24,0.07777777777777778,2.850483339735535e-54
2327,NC24,0.08888888888888889,3.736123816700048e-54
2327,NC24,0.1,4.896931330603182e-54
2327,NC24,0.14444444444444446,1.4452235435899056e-53
2327,NC24,0.18888888888888888,4.2652652241486315e-53
2327,NC24,0.23333333333333334,1.2588009317328285e-52
2327,NC24,0.2777777777777778,3.7150791391822645e-52
2327,NC24,0.32222222222222224,1.0964253888331704e-51
2327,NC24,0.3666666666666667,3.235862785799435e-51
2327,NC24,0.4111111111111111,9.549950297726e-51
2327,NC24,0.4555555555555556,2.818461619858369e-50
2327,NC24,0.5,8.318080885202296e-50
2327,NC24,0.5688888888888889,4.4518468001438524e-49
2327,NC24,0.6377777777777778,2.3826337114860908e-48
2327,NC24,0.7066666666666668,1.275188401120736e-47
2327,NC24,0.7755555555555556,6.824823515733148e-47
2327,NC24,0.8444444444444446,3.652653676897277e-46
2327,NC24,0.9133333333333334,1.954904599744478e-45
2327,NC24,0.9822222222222223,1.0462672709087626e-44
2327,NC24,1.051111111111111,5.599634899411221e-44
2327,NC24,1.12,2.996931269719321e-43
2327,NC24,1.3911111111111112,2.2067034194331734e-40
2327,NC24,1.6622222222222223,1.6248420611240717e-37
2327,NC24,1.9333333333333333,1.1964053258575697e-34
2327,NC24,2.2044444444444444,8.809383619415411e-32
