Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,DataQC_Flag,BMD_Analysis_Flag,BMD_Flag,BMD50_Flag
1664,MOV1,NULL,NULL,NULL,NULL,26.376929061920652,0.0,64.0,5,NULL,NULL,NULL
1664,AUC1,NULL,NULL,NULL,NULL,24.758345124212088,0.0,64.0,5,NULL,NULL,NULL
1666,MOV1,quantal_linear,80.09,NULL,526.899,15.526963036963037,0.0,64.0,3,0,0,1
1666,AUC1,NULL,NULL,NULL,NULL,7.5806755910755905,0.0,64.0,5,NULL,NULL,NULL
1677,MOV1,gamma,0.0,NULL,95.192,33.19960469874953,0.0,64.0,3,0,1,1
1677,AUC1,NULL,NULL,NULL,NULL,26.154451837817355,0.0,64.0,5,NULL,NULL,NULL
1689,MOV1,quantal_linear,5.666,3.161,37.273,47.328320611562354,0.0,64.0,4,0,0,0
1689,AUC1,log_logistic,0.455,NULL,29.036,36.373098962255135,0.0,64.0,3,0,0,0
1694,MOV1,NULL,NULL,NULL,NULL,15.687216120300752,0.0,64.0,5,NULL,NULL,NULL
1694,AUC1,NULL,NULL,NULL,NULL,18.811462897243103,0.0,64.0,5,NULL,NULL,NULL
1704,MOV1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1704,AUC1,NULL,NULL,NULL,NULL,33.672731428571424,0.0,64.0,5,NULL,NULL,NULL
1706,MOV1,NULL,NULL,NULL,NULL,14.848768326947638,0.0,64.0,5,NULL,NULL,NULL
1706,AUC1,NULL,NULL,NULL,NULL,11.383805874840355,0.0,64.0,5,NULL,NULL,NULL
172,MOV1,NULL,NULL,NULL,NULL,17.992135509341917,0.0,64.0,5,NULL,NULL,NULL
172,AUC1,NULL,NULL,NULL,NULL,5.230133205924511,0.0,64.0,5,NULL,NULL,NULL
176,MOV1,NULL,NULL,NULL,NULL,22.544367765567763,0.0,64.0,5,NULL,NULL,NULL
176,AUC1,NULL,NULL,NULL,NULL,12.104896703296705,0.0,64.0,5,NULL,NULL,NULL
1762,MOV1,NULL,NULL,NULL,NULL,29.335651648215837,0.0,64.0,5,NULL,NULL,NULL
1762,AUC1,NULL,NULL,NULL,NULL,25.17778935089547,0.0,64.0,5,NULL,NULL,NULL
1764,MOV1,log_logistic,0.978,NULL,22.029,36.23041832512315,0.0,64.0,3,0,0,0
1764,AUC1,log_logistic,1.071,0.246,12.819,38.60447556650246,0.0,64.0,3,0,0,0
1771,MOV1,NULL,NULL,NULL,NULL,15.655400307219661,0.0,64.0,5,NULL,NULL,NULL
1771,AUC1,NULL,NULL,NULL,NULL,5.37059539170507,0.0,64.0,5,NULL,NULL,NULL
1790,MOV1,NULL,NULL,NULL,NULL,22.774696451774116,0.0,64.0,5,NULL,NULL,NULL
1790,AUC1,NULL,NULL,NULL,NULL,6.930104947526237,0.0,64.0,5,NULL,NULL,NULL
1796,MOV1,NULL,NULL,NULL,NULL,11.709165612585412,0.0,64.0,5,NULL,NULL,NULL
1796,AUC1,NULL,NULL,NULL,NULL,21.43370614969013,0.0,64.0,5,NULL,NULL,NULL
1807,MOV1,quantal_linear,8.185,5.084,53.847,29.200670807453413,0.0,64.0,3,0,0,0
1807,AUC1,log_logistic,0.24,NULL,66.478,26.182426373626377,0.0,64.0,3,0,0,1
1808,MOV1,NULL,NULL,NULL,NULL,21.395806371100164,0.0,64.0,5,NULL,NULL,NULL
1808,AUC1,NULL,NULL,NULL,NULL,14.029863222039774,0.0,64.0,5,NULL,NULL,NULL
1809,MOV1,quantal_linear,27.664,NULL,181.999,29.239803442493653,0.0,64.0,3,0,0,1
1809,AUC1,NULL,NULL,NULL,NULL,11.816035164835165,0.0,64.0,5,NULL,NULL,NULL
1816,MOV1,NULL,NULL,NULL,NULL,19.87218901098901,0.0,64.0,5,NULL,NULL,NULL
1816,AUC1,NULL,NULL,NULL,NULL,20.258578754578757,0.0,64.0,5,NULL,NULL,NULL
1827,MOV1,log_probit,0.001,NULL,6696.44,24.839241356085516,0.0,64.0,3,0,1,1
1827,AUC1,log_logistic,1.317,NULL,442583.112,12.804614350499335,0.0,64.0,3,0,0,1
1846,MOV1,NULL,NULL,NULL,NULL,1.4310539626401697,0.0,6.4,5,NULL,NULL,NULL
1846,AUC1,NULL,NULL,NULL,NULL,0.5331180778353193,0.0,6.4,5,NULL,NULL,NULL
1853,MOV1,log_logistic,0.034,NULL,6383.015,24.554822674176485,0.0,64.0,3,0,0,1
1853,AUC1,NULL,NULL,NULL,NULL,19.319355008021848,0.0,64.0,5,NULL,NULL,NULL
1890,MOV1,logistic,14.736,9.744,39.897,23.529080000000004,0.0,64.0,4,0,0,0
1890,AUC1,gamma,0.011,NULL,489.394,22.076965714285713,0.0,64.0,3,0,0,1
1906,MOV1,NULL,NULL,NULL,NULL,11.450279137666191,0.0,64.0,5,NULL,NULL,NULL
1906,AUC1,quantal_linear,70.782,NULL,465.659,12.147434292070553,0.0,64.0,3,0,0,1
1912,MOV1,NULL,NULL,NULL,NULL,27.553257142857145,0.0,64.0,5,NULL,NULL,NULL
1912,AUC1,NULL,NULL,NULL,NULL,19.511991534391534,0.0,64.0,5,NULL,NULL,NULL
1929,MOV1,NULL,NULL,NULL,NULL,30.331019047619048,0.0,64.0,5,NULL,NULL,NULL
1929,AUC1,NULL,NULL,NULL,NULL,30.931681904761902,0.0,64.0,5,NULL,NULL,NULL
1944,MOV1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1944,AUC1,NULL,NULL,NULL,NULL,18.287400244200246,0.0,64.0,5,NULL,NULL,NULL
1961,MOV1,NULL,NULL,NULL,NULL,28.704444430319406,0.0,64.0,5,NULL,NULL,NULL
1961,AUC1,NULL,NULL,NULL,NULL,12.19569773822766,0.0,64.0,5,NULL,NULL,NULL
1968,MOV1,quantal_linear,15.137,8.057,99.586,29.045648333986854,0.0,64.0,4,0,0,1
1968,AUC1,NULL,NULL,NULL,NULL,7.661027531772575,0.0,64.0,5,NULL,NULL,NULL
197,MOV1,quantal_linear,25.732,NULL,169.284,20.592737802527306,0.0,64.0,3,0,0,1
197,AUC1,NULL,NULL,NULL,NULL,14.201934632683658,0.0,64.0,5,NULL,NULL,NULL
1982,MOV1,NULL,NULL,NULL,NULL,41.5176,0.0,64.0,5,NULL,NULL,NULL
1982,AUC1,NULL,NULL,NULL,NULL,24.39094436781609,0.0,64.0,5,NULL,NULL,NULL
2098,MOV1,NULL,NULL,NULL,NULL,20.052117541717543,0.0,64.0,5,NULL,NULL,NULL
2098,AUC1,NULL,NULL,NULL,NULL,13.311417663817666,0.0,64.0,5,NULL,NULL,NULL
2103,MOV1,quantal_linear,11.426,6.809,75.171,22.82599146141215,0.0,64.0,3,0,0,1
