Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,bmdrc.Endpoint.ID
C95195,ANY24,,,,,0.015625,0.0,2.0,0.0078125,0,0,0,0,C95195 ANY24
C95195,AXIS,,,,,,0.0,2.0,,0,0,0,0,C95195 AXIS
C95195,BRAI,,,,,,0.0,2.0,,0,0,0,0,C95195 BRAI
C95195,BRN_,,,,,0.25,0.0,2.0,0.125,0,0,0,0,C95195 BRN_
C95195,CFIN,,,,,,0.0,2.0,,0,0,0,0,C95195 CFIN
C95195,CIRC,,,,,,0.0,2.0,,0,0,0,0,C95195 CIRC
C95195,CRAN,,,,,0.34375,0.0,2.0,0.171875,0,0,0,0,C95195 CRAN
C95195,DP24,,,,,,0.0,2.0,,0,0,0,0,C95195 DP24
C95195,EDEM,,,,,0.375,0.0,2.0,0.1875,0,0,0,0,C95195 EDEM
C95195,EYE_,,,,,,0.0,2.0,,0,0,0,0,C95195 EYE_
C95195,JAW_,,,,,,0.0,2.0,,0,0,0,0,C95195 JAW_
C95195,LTRK,,,,,0.21875,0.0,2.0,0.109375,0,0,0,0,C95195 LTRK
C95195,MO24,,,,,,0.0,2.0,,0,0,0,0,C95195 MO24
C95195,MORT,,,,,,0.0,2.0,,0,0,0,0,C95195 MORT
C95195,NC24,,,,,,0.0,2.0,,0,0,0,0,C95195 NC24
C95195,ALL_BUT_MORT,,,,,0.375,0.0,2.0,0.1875,0,0,0,0,C95195 ALL_BUT_MORT
C95195,NC__,,,,,,0.0,2.0,,0,0,0,0,C95195 NC__
C95195,OTIC,,,,,,0.0,2.0,,0,0,0,0,C95195 OTIC
C95195,PE__,,,,,,0.0,2.0,,0,0,0,0,C95195 PE__
C95195,PFIN,,,,,,0.0,2.0,,0,0,0,0,C95195 PFIN
C95195,PIG_,,,,,,0.0,2.0,,0,0,0,0,C95195 PIG_
C95195,SKIN,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C95195 SKIN
C95195,SM24,,,,,,0.0,2.0,,0,0,0,0,C95195 SM24
C95195,SNOU,,,,,,0.0,2.0,,0,0,0,0,C95195 SNOU
C95195,SOMI,,,,,,0.0,2.0,,0,0,0,0,C95195 SOMI
C95195,SWIM,,,,,,0.0,2.0,,0,0,0,0,C95195 SWIM
C95195,TCHR,,,,,0.03125,0.0,2.0,0.015625,0,0,0,0,C95195 TCHR
C95195,TOT_MORT,,,,,0.28125,0.0,2.0,0.140625,0,0,0,0,C95195 TOT_MORT
C95195,TRUN,,,,,,0.0,2.0,,0,0,0,0,C95195 TRUN
C95195,TR__,,,,,,0.0,2.0,,0,0,0,0,C95195 TR__
C95195,ANY120,,,,,0.65625,0.0,2.0,0.328125,0,0,0,0,C95195 ANY120
C94979,SM24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C94979 SM24
C94834,CIRC,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 CIRC
C94834,PIG_,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 PIG_
C94834,CRAN,,,,,0.3125,0.0,2.0,0.15625,0,0,0,0,C94834 CRAN
C94834,DP24,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 DP24
C94834,EDEM,,,,,0.46875,0.0,2.0,0.234375,0,0,0,0,C94834 EDEM
C94834,EYE_,,,,,0.12,0.0,2.0,0.06,0,0,0,0,C94834 EYE_
C94834,JAW_,,,,,0.4,0.0,2.0,0.2,0,0,0,0,C94834 JAW_
C94834,LTRK,,,,,0.125,0.0,2.0,0.0625,0,0,0,0,C94834 LTRK
C94834,MO24,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 MO24
C94834,MORT,,,,,0.265625,0.0,2.0,0.1328125,0,0,0,0,C94834 MORT
C94834,MUSC,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 MUSC
C94834,NC24,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 NC24
C94834,NC__,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 NC__
C94834,OTIC,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 OTIC
C94834,PE__,,,,,0.44,0.0,2.0,0.22,0,0,0,0,C94834 PE__
C94834,PFIN,,,,,0.48,0.0,2.0,0.24,0,0,0,0,C94834 PFIN
C94834,SKIN,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 SKIN
C94979,SKIN,,,,,0.19374999999999998,0.0,50.0,0.0038749999999999995,0,0,0,0,C94979 SKIN
C94834,SM24,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 SM24
C94834,SNOU,,,,,0.12,0.0,2.0,0.06,0,0,0,0,C94834 SNOU
C94834,SOMI,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 SOMI
