Chemical_ID,End_Point,Dose,bmdrc.Endpoint.ID,num.affected,num.nonna,CI_Lo,CI_Hi
3689,AUC,0.0,3689 AUC,1.0,24,0.00739346,0.20241806
3689,AUC,2.5,3689 AUC,1.0,14,0.01272222,0.31468704
3689,AUC,5.0,3689 AUC,1.0,14,0.01272222,0.31468704
3689,AUC,7.5,3689 AUC,0.0,14,0.0,0.2153108
3689,AUC,10.0,3689 AUC,1.0,14,0.01272222,0.31468704
3689,AUC,15.0,3689 AUC,1.0,14,0.01272222,0.31468704
3689,AUC,20.0,3689 AUC,0.0,14,0.0,0.2153108
3689,AUC,30.0,3689 AUC,0.0,14,0.0,0.2153108
3689,AUC,40.0,3689 AUC,0.0,14,0.0,0.2153108
3689,AUC,50.0,3689 AUC,3.0,14,0.07571387,0.47589231
3689,AUC,60.0,3689 AUC,4.0,14,0.11721379,0.54649084
3689,AUC,80.0,3689 AUC,0.0,14,0.0,0.2153108
3689,AUC,100.0,3689 AUC,1.0,14,0.01272222,0.31468704
3689,MOV,0.0,3689 MOV,9.0,24,0.21159368,0.57290038
3689,MOV,2.5,3689 MOV,3.0,14,0.07571387,0.47589231
3689,MOV,5.0,3689 MOV,4.0,14,0.11721379,0.54649084
3689,MOV,7.5,3689 MOV,3.0,14,0.07571387,0.47589231
3689,MOV,10.0,3689 MOV,5.0,14,0.16344732,0.61235577
3689,MOV,15.0,3689 MOV,4.0,14,0.11721379,0.54649084
3689,MOV,20.0,3689 MOV,2.0,14,0.04009392,0.39941379
3689,MOV,30.0,3689 MOV,2.0,14,0.04009392,0.39941379
3689,MOV,40.0,3689 MOV,3.0,14,0.07571387,0.47589231
3689,MOV,50.0,3689 MOV,3.0,14,0.07571387,0.47589231
3689,MOV,60.0,3689 MOV,5.0,14,0.16344732,0.61235577
3689,MOV,80.0,3689 MOV,0.0,14,0.0,0.2153108
3689,MOV,100.0,3689 MOV,2.0,14,0.04009392,0.39941379
3690,AUC,0.0,3690 AUC,5.0,24,0.09244825,0.40470453
3690,AUC,2.5,3690 AUC,1.0,14,0.01272222,0.31468704
3690,AUC,5.0,3690 AUC,2.0,14,0.04009392,0.39941379
3690,AUC,7.5,3690 AUC,3.0,14,0.07571387,0.47589231
3690,AUC,10.0,3690 AUC,3.0,14,0.07571387,0.47589231
3690,AUC,15.0,3690 AUC,3.0,14,0.07571387,0.47589231
3690,AUC,20.0,3690 AUC,3.0,14,0.07571387,0.47589231
3690,AUC,30.0,3690 AUC,9.0,14,0.38764423,0.83655268
3690,AUC,40.0,3690 AUC,6.0,14,0.21380799,0.67409355
3690,AUC,50.0,3690 AUC,3.0,14,0.07571387,0.47589231
3690,AUC,60.0,3690 AUC,4.0,14,0.11721379,0.54649084
3690,AUC,80.0,3690 AUC,1.0,14,0.01272222,0.31468704
3690,AUC,100.0,3690 AUC,0.0,14,0.0,0.2153108
3690,MOV,0.0,3690 MOV,4.0,24,0.06678676,0.35853071
3690,MOV,2.5,3690 MOV,0.0,14,0.0,0.2153108
3690,MOV,5.0,3690 MOV,1.0,14,0.01272222,0.31468704
3690,MOV,7.5,3690 MOV,1.0,14,0.01272222,0.31468704
3690,MOV,10.0,3690 MOV,0.0,14,0.0,0.2153108
3690,MOV,15.0,3690 MOV,1.0,14,0.01272222,0.31468704
3690,MOV,20.0,3690 MOV,2.0,14,0.04009392,0.39941379
3690,MOV,30.0,3690 MOV,1.0,14,0.01272222,0.31468704
3690,MOV,40.0,3690 MOV,1.0,14,0.01272222,0.31468704
3690,MOV,50.0,3690 MOV,2.0,14,0.04009392,0.39941379
3690,MOV,60.0,3690 MOV,2.0,14,0.04009392,0.39941379
3690,MOV,80.0,3690 MOV,0.0,14,0.0,0.2153108
3690,MOV,100.0,3690 MOV,2.0,14,0.04009392,0.39941379
3760,AUC,0.0,3760 AUC,4.0,24,0.06678676,0.35853071
3760,AUC,2.5,3760 AUC,3.0,14,0.07571387,0.47589231
3760,AUC,5.0,3760 AUC,2.0,14,0.04009392,0.39941379
3760,AUC,7.5,3760 AUC,7.0,14,0.26799202,0.73200798
3760,AUC,10.0,3760 AUC,3.0,14,0.07571387,0.47589231
3760,AUC,15.0,3760 AUC,2.0,14,0.04009392,0.39941379
3760,AUC,20.0,3760 AUC,2.0,14,0.04009392,0.39941379
3760,AUC,30.0,3760 AUC,3.0,14,0.07571387,0.47589231
3760,AUC,40.0,3760 AUC,4.0,14,0.11721379,0.54649084
3760,AUC,50.0,3760 AUC,4.0,14,0.11721379,0.54649084
3760,AUC,60.0,3760 AUC,5.0,14,0.16344732,0.61235577
3760,AUC,80.0,3760 AUC,5.0,14,0.16344732,0.61235577
3760,AUC,100.0,3760 AUC,5.0,14,0.16344732,0.61235577
3760,MOV,0.0,3760 MOV,4.0,24,0.06678676,0.35853071
3760,MOV,2.5,3760 MOV,3.0,14,0.07571387,0.47589231
3760,MOV,5.0,3760 MOV,2.0,14,0.04009392,0.39941379
