Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,Modeled_Flag,DataQC_Flag,BMD10_Flag,BMD50_Flag,NumConc,Spearman_Correlation,bmdrc.Endpoint.ID
2695,TOT_MORT,Log Logistic,1.0992505880089412,0.165478005997635,44.870838583804215,16.040808,0.0,50.0,0.32081615999999996,Pass,Good,Pass,Pass,9.0,0.8440722199302098,2695 TOT_MORT
1520,TOT_MORT,Gamma,0.0012572554601540554,0.0006914905030847305,0.00197096985189952,0.007778125,0.0,0.01,0.7778125,Pass,Good,Pass,Pass,5.0,0.8827348295047495,1520 TOT_MORT
1520,AXIS,Logistic,0.0007084631070737894,0.00038965470889058417,0.0012224117836990033,0.00106,0.0,0.01,0.106,Pass,Good,Pass,Pass,5.0,0.9486832980505138,1520 AXIS
1520,ANY24,Probit,0.002294745261091489,0.0018527995093307419,0.00541496547953464,0.00423125,0.0,0.01,0.423125,Pass,Good,Pass,Pass,5.0,0.898645105261295,1520 ANY24
1520,ANY120,Log Logistic,0.0002953072522076081,0.00016241898871418447,0.00036083521191784416,0.009453125,0.0,0.01,0.9453125,Pass,Good,Pass,Pass,5.0,0.7775419143502352,1520 ANY120
1519,TOT_MORT,Log Logistic,0.00030089538980307537,0.00016549246439169146,0.00036930445082427536,0.009453125,0.0,0.01,0.9453125,Pass,Good,Pass,Pass,5.0,0.7775419143502352,1519 TOT_MORT
1519,MO24,Probit,0.0030216851548903233,0.0024815663106147008,0.00852594422028471,0.002215625,0.0,0.01,0.22156250000000002,Pass,Good,Pass,Pass,5.0,0.8406680016960503,1519 MO24
1519,ANY24,Gamma,0.0005517875990922537,0.0003066354817025849,0.001551224433875606,0.008146875,0.0,0.01,0.8146874999999999,Pass,Good,Pass,Pass,5.0,0.9276336570439175,1519 ANY24
1519,ANY120,Gamma,8.911717485401002e-07,4.901444616970552e-07,5.462013163696133e-05,0.009690625000000001,0.0,0.01,0.9690625000000002,Pass,Good,Pass,Pass,5.0,0.8451542547285166,1519 ANY120
1517,ANY120,Gamma,0.002181502151466722,0.001199826183306697,0.0030060338772814684,0.006990625,0.0,0.01,0.6990625,Pass,Good,Pass,Pass,5.0,0.9856107606091623,1517 ANY120
