"cas_number","zf.cid","Chemical_ID","chemical_class"
"115-96-8","3151",3151,"Flame Retardant"
"78-51-3","3150",3150,"Flame Retardant"
"126-72-7","3149",3149,NA
"13674-84-5","3147",3147,NA
"78-51-3","3146",3146,"Flame Retardant"
"13674-87-8","3144",3144,NA
"13674-87-8","3143",3143,NA
"25498-49-1","3142",3142,NA
"76-87-9","3141",3141,NA
"217-59-4","3140",3140,"PAH_Parent"
"101-02-0","3139",3139,NA
"115-86-6","3138",3138,"Flame Retardant"
"89-04-3","3137",3137,NA
"78-30-8","3136",3136,"Flame Retardant"
"563-04-2","3135",3135,"Flame Retardant,"
"512-56-1","3133",3133,NA
"53894-23-8","3131",3131,NA
"126-71-6","3130",3130,NA
"2451-62-9","3129",3129,NA
"1582-09-8","3128",3128,"Herbicide"
"68694-11-1","3127",3127,"Fungicide"
"199119-58-9","3126",3126,NA
"141517-21-7","3125",3125,"Fungicide"
"112-49-2","3124",3124,NA
"111-21-7","3123",3123,NA
"94-28-0","3122",3122,NA
"112-27-6","3121",3121,NA
"78-40-0","3120",3120,"Insecticide"
"77-93-0","3119",3119,NA
"2943-75-1","3118",3118,NA
"102-71-6","3117",3117,NA
"24602-86-6","3116",3116,"Fungicide"
"1330-78-5","3114",3114,NA
"3380-34-5","3112",3112,"Pharmacological"
"55335-06-3","3111",3111,NA
"101-20-2","3110",3110,NA
"76-03-9","3108",3108,NA
"52-68-6","3107",3107,"Insecticide"
"2155-70-6","3106",3106,NA
"1461-22-9","3104",3104,NA
"102-82-9","3103",3103,NA
"126-73-8","3102",3102,"Flame Retardant"
"78-48-8","3101",3101,"Herbicide"
"124-94-7","3100",3100,NA
"2303-17-5","3099",3099,"Herbicide"
"55219-65-3","3098",3098,"Fungicide"
"43121-43-3","3097",3097,"Fungicide"
"102-76-1","3096",3096,NA
"68937-41-7","3094",3094,NA
"xs189003-92-7","3093",3093,NA
"572-41-8","3091",3091,"PAH_Hydroxy"
"87820-88-0","3090",3090,NA
"584-84-9","3058",3058,NA
"108-88-3","3056",3056,NA
"1156-19-0","3055",3055,NA
"129298-91-5","3054",3054,NA
"5613-46-7","3052",3052,NA
"36673-16-2","3045",3045,NA
"51-24-1","3041",3041,NA
"89-83-8","3023",3023,"Pharmacological"
"137-26-8","3022",3022,NA
"23564-05-8","3020",3020,NA
"59669-26-0","3019",3019,NA
"28249-77-6","3018",3018,"Herbicide"
"51707-55-2","3017",3017,NA
"117718-60-2","3016",3016,"Herbicide"
"95-15-8","3015",3015,"PAH_Heterocyclic"
"153719-23-4","3014",3014,NA
"111988-49-9","3013",3013,NA
"148-79-8","3012",3012,"Fungicide"
"58-55-9","3009",3009,NA
"83-67-0","3008",3008,"Pharmacological"
"50-35-1","3007",3007,NA
"7696-12-0","3006",3006,"Insecticide"
"55566-30-8","3005",3005,NA
"124-64-1","3004",3004,NA
"97-77-8","3002",3002,NA
"60-54-8","3001",3001,NA
"112281-77-3","3000",3000,"Fungicide"
"117-08-8","2999",2999,NA
"632-79-1","2997",2997,NA
