Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,Modeled_Flag,DataQC_Flag,BMD10_Flag,BMD50_Flag,NumConc,Spearman_Correlation,bmdrc.Endpoint.ID
3978,AUC,Quantal Linear,1.466216432507783,0.5664048489152991,9.645964429255706,5.453706043956044,0.0,11.1,0.4913248688248688,Pass,Good,Pass,Pass,8.0,0.7113032974423645,3978 AUC
4905,AUC,Quantal Linear,2.978176293287921,1.3867133365621882,19.592866341003447,12.006190476190476,0.0,22.0,0.5457359307359307,Pass,Good,Pass,Pass,12.0,0.7350994586800497,4905 AUC
3862,AUC,Gamma,13.175352971408111,3.2745384093978167,66.09206183168342,32.05678571428571,0.0,100.0,0.32056785714285707,Pass,Good,Pass,Pass,12.0,0.831959079755702,3862 AUC
4248,AUC,Gamma,0.0034583094291564106,0.0005817744414453674,10.994878694326957,4.7678988095238095,0.0,11.1,0.4295404332904333,Pass,Good,Pass,Pass,8.0,0.7698812160552652,4248 AUC
4776,AUC,Gamma,10.488285793647567,2.3693385851714095,47.018605607150846,46.93964285714286,0.0,100.0,0.46939642857142855,Pass,Good,Pass,Pass,12.0,0.82483464784172,4776 AUC
4035,AUC,Gamma,0.3867369141916258,0.05456427312288588,8.764613166405018,20.10050659340659,0.0,33.3,0.6036188166188166,Pass,Good,Pass,Pass,9.0,0.7781190959104827,4035 AUC
4148,AUC,Quantal Linear,1.618772523547005,0.7722366970241328,10.649602497282077,3.1274107142857144,0.0,11.1,0.281748712998713,Pass,Good,Pass,Pass,8.0,0.8319621487478577,4148 AUC
3758,AUC,Quantal Linear,6.2384270080825415,4.237134750118562,41.041447688285174,19.740858585858586,0.0,44.8,0.4406441648629149,Pass,Good,Pass,Pass,6.0,0.8571428571428571,3758 AUC
3977,AUC,Quantal Linear,0.17540239168275876,0.1018669944665397,1.1539396186444573,1.796136904761905,0.0,3.7,0.4854424066924067,Pass,Good,Pass,Pass,7.0,0.7380952380952381,3977 AUC
3971,MOV,Quantal Linear,0.04621331869284252,0.02535639951911482,0.3040288039239735,0.8142916666666666,0.0,1.23,0.6620257452574526,Pass,Good,Pass,Pass,6.0,0.9285714285714286,3971 MOV
3971,AUC,Quantal Linear,0.0709366372816505,0.03410535151336776,0.46667890550066027,0.5703535714285715,0.0,1.23,0.4637020905923345,Pass,Good,Pass,Pass,6.0,0.8571428571428571,3971 AUC
3937,AUC,Quantal Linear,0.4982242997147749,0.2850801492288862,3.2777247385092596,1.108978021978022,0.0,3.7,0.2997237897237897,Pass,Good,Pass,Pass,7.0,0.7784570702436183,3937 AUC
3937,MOV,Quantal Linear,0.4258410405231188,0.2627977759234163,2.801528777288094,1.2972142857142857,0.0,3.7,0.35059845559845554,Pass,Good,Pass,Pass,7.0,0.7545045450053531,3937 MOV
4757,AUC,Log Probit,1.3082901106612221,1.2507968929075552,78.10125608646692,47.297619047619044,0.0,100.0,0.47297619047619044,Pass,Good,Pass,Pass,12.0,0.8910421112136306,4757 AUC
