Chemical_ID,End_Point,X_vals,Y_vals,bmdrc.Endpoint.ID
1016,AUC,,,1016 AUC
1016,MOV,0.0,1e-05,1016 MOV
1016,MOV,0.0017,1.786e-05,1016 MOV
1016,MOV,0.0033,2.525e-05,1016 MOV
1016,MOV,0.005,3.311e-05,1016 MOV
1016,MOV,0.0067,4.097e-05,1016 MOV
1016,MOV,0.0083,4.837e-05,1016 MOV
1016,MOV,0.01,5.622e-05,1016 MOV
1016,MOV,0.0117,6.408e-05,1016 MOV
1016,MOV,0.0133,7.148e-05,1016 MOV
1016,MOV,0.015,7.934e-05,1016 MOV
1016,MOV,0.0184,9.505e-05,1016 MOV
1016,MOV,0.0219,0.00011123,1016 MOV
1016,MOV,0.0253,0.00012694,1016 MOV
1016,MOV,0.0288,0.00014312,1016 MOV
1016,MOV,0.0322,0.00015883,1016 MOV
1016,MOV,0.0357,0.00017501,1016 MOV
1016,MOV,0.0391,0.00019072,1016 MOV
1016,MOV,0.0426,0.0002069,1016 MOV
1016,MOV,0.046,0.00022261,1016 MOV
1016,MOV,0.0864,0.00040931,1016 MOV
1016,MOV,0.1269,0.00059643,1016 MOV
1016,MOV,0.1673,0.00078305,1016 MOV
1016,MOV,0.2078,0.0009701,1016 MOV
1016,MOV,0.2482,0.00115665,1016 MOV
1016,MOV,0.2887,0.00134363,1016 MOV
1016,MOV,0.3291,0.00153012,1016 MOV
1016,MOV,0.3696,0.00171703,1016 MOV
1016,MOV,0.41,0.00190344,1016 MOV
1016,MOV,0.5011,0.00232367,1016 MOV
1016,MOV,0.5922,0.00274372,1016 MOV
1016,MOV,0.6833,0.00316359,1016 MOV
1016,MOV,0.7744,0.00358329,1016 MOV
1016,MOV,0.8656,0.00400327,1016 MOV
1016,MOV,0.9567,0.00442261,1016 MOV
1016,MOV,1.0478,0.00484178,1016 MOV
1016,MOV,1.1389,0.00526077,1016 MOV
1016,MOV,1.23,0.00567958,1016 MOV
1016,MOV,1.5044,0.00694001,1016 MOV
1016,MOV,1.7789,0.0081993,1016 MOV
1016,MOV,2.0533,0.00945654,1016 MOV
