chemical.id,plate.id,well,chemical_plate_well,conc,AXIS,DP24,MO24,MORT,NC24,NC__,SM24,ANY24,ANY120,TOT_MORT,ALL_BUT_MORT,BRN_,CRAN,EDEM,LTRK,MUSC,SKIN,TCHR
53,9289,A01,53_9289_A01,50,,0,0,1,0,,0,0,1,1,0,,,,,,,
53,9289,A02,53_9289_A02,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
