"X_vals","Y_vals","End Point Name","endPointLink","Sample_ID"
0,0.161576776195598,"Any effect",NA,"1004-1"
0,0.161576776195598,"Any effect",NA,"1004-2"
0,0.161576776195598,"Any effect",NA,"1004-3"
0,0.161576776195598,"Any effect",NA,"1004-4"
8.88888888888889e-06,0.188478392282775,"Any effect",NA,"1004-1"
8.88888888888889e-06,0.188478392282775,"Any effect",NA,"1004-2"
8.88888888888889e-06,0.188478392282775,"Any effect",NA,"1004-3"
8.88888888888889e-06,0.188478392282775,"Any effect",NA,"1004-4"
1.77777777777778e-05,0.19857472001201,"Any effect",NA,"1004-1"
1.77777777777778e-05,0.19857472001201,"Any effect",NA,"1004-2"
1.77777777777778e-05,0.19857472001201,"Any effect",NA,"1004-3"
1.77777777777778e-05,0.19857472001201,"Any effect",NA,"1004-4"
2.66666666666667e-05,0.206109743606859,"Any effect",NA,"1004-1"
2.66666666666667e-05,0.206109743606859,"Any effect",NA,"1004-2"
2.66666666666667e-05,0.206109743606859,"Any effect",NA,"1004-3"
2.66666666666667e-05,0.206109743606859,"Any effect",NA,"1004-4"
3.55555555555556e-05,0.21234001471735,"Any effect",NA,"1004-1"
3.55555555555556e-05,0.21234001471735,"Any effect",NA,"1004-2"
3.55555555555556e-05,0.21234001471735,"Any effect",NA,"1004-3"
3.55555555555556e-05,0.21234001471735,"Any effect",NA,"1004-4"
4.44444444444444e-05,0.217745490894502,"Any effect",NA,"1004-1"
4.44444444444444e-05,0.217745490894502,"Any effect",NA,"1004-2"
4.44444444444444e-05,0.217745490894502,"Any effect",NA,"1004-3"
4.44444444444444e-05,0.217745490894502,"Any effect",NA,"1004-4"
5.33333333333333e-05,0.222569988329444,"Any effect",NA,"1004-1"
5.33333333333333e-05,0.222569988329444,"Any effect",NA,"1004-2"
5.33333333333333e-05,0.222569988329444,"Any effect",NA,"1004-3"
5.33333333333333e-05,0.222569988329444,"Any effect",NA,"1004-4"
6.22222222222222e-05,0.226957278057566,"Any effect",NA,"1004-1"
6.22222222222222e-05,0.226957278057566,"Any effect",NA,"1004-2"
6.22222222222222e-05,0.226957278057566,"Any effect",NA,"1004-3"
6.22222222222222e-05,0.226957278057566,"Any effect",NA,"1004-4"
7.11111111111111e-05,0.231000465694592,"Any effect",NA,"1004-1"
7.11111111111111e-05,0.231000465694592,"Any effect",NA,"1004-2"
7.11111111111111e-05,0.231000465694592,"Any effect",NA,"1004-3"
7.11111111111111e-05,0.231000465694592,"Any effect",NA,"1004-4"
8e-05,0.234763886567733,"Any effect",NA,"1004-1"
8e-05,0.234763886567733,"Any effect",NA,"1004-2"
8e-05,0.234763886567733,"Any effect",NA,"1004-3"
8e-05,0.234763886567733,"Any effect",NA,"1004-4"
0.000115555555555556,0.247799456054752,"Any effect",NA,"1004-1"
0.000115555555555556,0.247799456054752,"Any effect",NA,"1004-2"
0.000115555555555556,0.247799456054752,"Any effect",NA,"1004-3"
0.000115555555555556,0.247799456054752,"Any effect",NA,"1004-4"
0.000151111111111111,0.25865772492769,"Any effect",NA,"1004-1"
0.000151111111111111,0.25865772492769,"Any effect",NA,"1004-2"
0.000151111111111111,0.25865772492769,"Any effect",NA,"1004-3"
0.000151111111111111,0.25865772492769,"Any effect",NA,"1004-4"
0.000186666666666667,0.268095710811055,"Any effect",NA,"1004-1"
0.000186666666666667,0.268095710811055,"Any effect",NA,"1004-2"
0.000186666666666667,0.268095710811055,"Any effect",NA,"1004-3"
0.000186666666666667,0.268095710811055,"Any effect",NA,"1004-4"
0.000222222222222222,0.276515344327186,"Any effect",NA,"1004-1"
0.000222222222222222,0.276515344327186,"Any effect",NA,"1004-2"
0.000222222222222222,0.276515344327186,"Any effect",NA,"1004-3"
0.000222222222222222,0.276515344327186,"Any effect",NA,"1004-4"
0.000257777777777778,0.284159949003815,"Any effect",NA,"1004-1"
0.000257777777777778,0.284159949003815,"Any effect",NA,"1004-2"
0.000257777777777778,0.284159949003815,"Any effect",NA,"1004-3"
0.000257777777777778,0.284159949003815,"Any effect",NA,"1004-4"
0.000293333333333333,0.291189884251437,"Any effect",NA,"1004-1"
0.000293333333333333,0.291189884251437,"Any effect",NA,"1004-2"
0.000293333333333333,0.291189884251437,"Any effect",NA,"1004-3"
0.000293333333333333,0.291189884251437,"Any effect",NA,"1004-4"
0.000328888888888889,0.297717348781231,"Any effect",NA,"1004-1"
0.000328888888888889,0.297717348781231,"Any effect",NA,"1004-2"
0.000328888888888889,0.297717348781231,"Any effect",NA,"1004-3"
0.000328888888888889,0.297717348781231,"Any effect",NA,"1004-4"
0.000364444444444444,0.303824422533656,"Any effect",NA,"1004-1"
0.000364444444444444,0.303824422533656,"Any effect",NA,"1004-2"
0.000364444444444444,0.303824422533656,"Any effect",NA,"1004-3"
0.000364444444444444,0.303824422533656,"Any effect",NA,"1004-4"
4e-04,0.309573262408296,"Any effect",NA,"1004-1"
4e-04,0.309573262408296,"Any effect",NA,"1004-2"
4e-04,0.309573262408296,"Any effect",NA,"1004-3"
4e-04,0.309573262408296,"Any effect",NA,"1004-4"
0.000577777777777778,0.334341391601897,"Any effect",NA,"1004-1"
0.000577777777777778,0.334341391601897,"Any effect",NA,"1004-2"
0.000577777777777778,0.334341391601897,"Any effect",NA,"1004-3"
0.000577777777777778,0.334341391601897,"Any effect",NA,"1004-4"
0.000755555555555556,0.354607021713133,"Any effect",NA,"1004-1"
0.000755555555555556,0.354607021713133,"Any effect",NA,"1004-2"
0.000755555555555556,0.354607021713133,"Any effect",NA,"1004-3"
