Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD_Flag,BMD50_Flag,BMD10_call
365,AXIS,NULL,NULL,NULL,NULL,0.03225806451612903,0.0,1.0,0.03225806451612903,0,NULL,NULL,NULL,0
365,BRN_,NULL,NULL,NULL,NULL,0.04838709677419355,0.0,1.0,0.04838709677419355,0,NULL,NULL,NULL,0
365,CRAN,NULL,NULL,NULL,NULL,0.04838709677419355,0.0,1.0,0.04838709677419355,0,NULL,NULL,NULL,0
365,EDEM,NULL,NULL,NULL,NULL,0.03225806451612903,0.0,1.0,0.03225806451612903,0,NULL,NULL,NULL,0
365,LTRK,NULL,NULL,NULL,NULL,0.06451612903225806,0.0,1.0,0.06451612903225806,0,NULL,NULL,NULL,0
365,MUSC,NULL,NULL,NULL,NULL,0.016129032258064516,0.0,1.0,0.016129032258064516,0,NULL,NULL,NULL,0
365,NC__,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
365,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
365,TCHR,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
601,AXIS,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
601,BRN_,NULL,NULL,NULL,NULL,0.0339080459770115,0.0,1.0,0.0339080459770115,0,NULL,NULL,NULL,0
601,CRAN,NULL,NULL,NULL,NULL,0.05114942528735632,0.0,1.0,0.05114942528735632,0,NULL,NULL,NULL,0
601,EDEM,NULL,NULL,NULL,NULL,0.05114942528735632,0.0,1.0,0.05114942528735632,0,NULL,NULL,NULL,0
601,LTRK,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
601,MUSC,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
601,NC__,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
601,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
601,TCHR,NULL,NULL,NULL,NULL,0.0,0.0,1.0,0.0,0,NULL,NULL,NULL,0
1532,ANY24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0
1532,ANY120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0
1532,MO24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0
1532,MORT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0
1532,TOT_MORT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0
1704,ANY120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0
1704,AXIS,NULL,NULL,NULL,NULL,0.0,0.0,64.0,0.0,0,NULL,NULL,NULL,0
1704,BRN_,NULL,NULL,NULL,NULL,0.0,0.0,64.0,0.0,0,NULL,NULL,NULL,0
1704,CRAN,NULL,NULL,NULL,NULL,0.0,0.0,64.0,0.0,0,NULL,NULL,NULL,0
1704,EDEM,NULL,NULL,NULL,NULL,9.6,0.0,64.0,0.15,0,NULL,NULL,NULL,0
1704,LTRK,NULL,NULL,NULL,NULL,0.0,0.0,64.0,0.0,0,NULL,NULL,NULL,0
1704,MUSC,NULL,NULL,NULL,NULL,0.0,0.0,64.0,0.0,0,NULL,NULL,NULL,0
1704,NC__,NULL,NULL,NULL,NULL,0.0,0.0,64.0,0.0,0,NULL,NULL,NULL,0
1704,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,64.0,0.0,0,NULL,NULL,NULL,0
1704,TCHR,NULL,NULL,NULL,NULL,17.066666666666666,0.0,64.0,0.26666666666666666,0,NULL,NULL,NULL,0
2509,AXIS,NULL,NULL,NULL,NULL,1.5517241379310346e-05,0.0,0.0001,0.15517241379310345,0,NULL,NULL,NULL,0
2509,BRN_,NULL,NULL,NULL,NULL,2.5862068965517244e-05,0.0,0.0001,0.25862068965517243,0,NULL,NULL,NULL,0
2509,CRAN,NULL,NULL,NULL,NULL,2.5862068965517244e-05,0.0,0.0001,0.25862068965517243,0,NULL,NULL,NULL,0
2509,EDEM,NULL,NULL,NULL,NULL,4.3103448275862066e-05,0.0,0.0001,0.43103448275862066,0,NULL,NULL,NULL,0
2509,LTRK,NULL,NULL,NULL,NULL,8.620689655172414e-06,0.0,0.0001,0.08620689655172414,0,NULL,NULL,NULL,0
2509,MUSC,NULL,NULL,NULL,NULL,0.0,0.0,0.0001,0.0,0,NULL,NULL,NULL,0
2509,NC__,NULL,NULL,NULL,NULL,0.0,0.0,0.0001,0.0,0,NULL,NULL,NULL,0
2509,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,0.0001,0.0,0,NULL,NULL,NULL,0
2509,TCHR,NULL,NULL,NULL,NULL,0.0,0.0,0.0001,0.0,0,NULL,NULL,NULL,0
53,ANY24,NULL,NULL,NULL,NULL,3.8406249999999997,0.0,50.0,0.07681249999999999,1,NULL,NULL,NULL,0
53,ANY120,NULL,NULL,NULL,NULL,4.94375,0.0,50.0,0.09887499999999999,1,NULL,NULL,NULL,0
53,DP24,NULL,NULL,NULL,NULL,3.1870967741935483,0.0,50.0,0.06374193548387097,1,NULL,NULL,NULL,0
53,MO24,NULL,NULL,NULL,NULL,0.684375,0.0,50.0,0.013687499999999998,1,NULL,NULL,NULL,0
53,MORT,NULL,NULL,NULL,NULL,0.8484913793103448,0.0,50.0,0.016969827586206895,1,NULL,NULL,NULL,0
53,NC__,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
53,NC24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
53,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
53,SM24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
53,TOT_MORT,NULL,NULL,NULL,NULL,1.53125,0.0,50.0,0.030625,1,NULL,NULL,NULL,0
54,BRN_,NULL,NULL,NULL,NULL,0.13339912775396648,0.0,5.0,0.026679825550793297,1,NULL,NULL,NULL,0
54,CRAN,NULL,NULL,NULL,NULL,0.13339912775396648,0.0,5.0,0.026679825550793297,1,NULL,NULL,NULL,0
54,DP24,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
54,EDEM,NULL,NULL,NULL,NULL,0.13339912775396648,0.0,5.0,0.026679825550793297,1,NULL,NULL,NULL,0
54,NC__,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
54,NC24,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
54,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
54,SM24,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
56,AXIS,NULL,NULL,NULL,NULL,1.77377989432703,0.0,50.0,0.0354755978865406,1,NULL,NULL,NULL,0
56,ALL_BUT_MORT,NULL,NULL,NULL,NULL,1.77377989432703,0.0,50.0,0.0354755978865406,1,NULL,NULL,NULL,0
56,DP24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
56,LTRK,NULL,NULL,NULL,NULL,1.3453629032258063,0.0,50.0,0.026907258064516125,1,NULL,NULL,NULL,0
56,MORT,NULL,NULL,NULL,NULL,0.478125,0.0,50.0,0.0095625,1,NULL,NULL,NULL,0
56,NC24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
56,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
56,SM24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
57,NC__,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
57,NC24,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
57,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
57,SM24,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
58,DP24,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
58,MUSC,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
58,NC__,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
58,NC24,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
58,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
58,SM24,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
58,TCHR,NULL,NULL,NULL,NULL,0.0,0.0,1.12,0.0,1,NULL,NULL,NULL,0
60,DP24,NULL,NULL,NULL,NULL,1.424375,0.0,50.0,0.0284875,1,NULL,NULL,NULL,0
60,LTRK,NULL,NULL,NULL,NULL,0.6858620689655173,0.0,50.0,0.013717241379310345,1,NULL,NULL,NULL,0
60,MO24,NULL,NULL,NULL,NULL,1.3125,0.0,50.0,0.02625,1,NULL,NULL,NULL,0
60,MUSC,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
60,NC__,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
60,NC24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
60,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
60,SM24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
61,ALL_BUT_MORT,NULL,NULL,NULL,NULL,0.1810794602698651,0.0,5.0,0.03621589205397302,1,NULL,NULL,NULL,0
61,DP24,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
61,NC24,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
61,SM24,NULL,NULL,NULL,NULL,0.0,0.0,5.0,0.0,1,NULL,NULL,NULL,0
62,ALL_BUT_MORT,NULL,NULL,NULL,NULL,0.04479464285714286,0.0,0.5,0.08958928571428572,1,NULL,NULL,NULL,0
62,BRN_,NULL,NULL,NULL,NULL,0.0057692307692307696,0.0,0.5,0.011538461538461539,1,NULL,NULL,NULL,0
62,CRAN,NULL,NULL,NULL,NULL,0.013833746898263027,0.0,0.5,0.027667493796526055,1,NULL,NULL,NULL,0
62,DP24,NULL,NULL,NULL,NULL,0.0,0.0,0.5,0.0,1,NULL,NULL,NULL,0
62,EDEM,NULL,NULL,NULL,NULL,0.0057692307692307696,0.0,0.5,0.011538461538461539,1,NULL,NULL,NULL,0
62,MUSC,NULL,NULL,NULL,NULL,0.0,0.0,0.5,0.0,1,NULL,NULL,NULL,0
62,NC24,NULL,NULL,NULL,NULL,0.0,0.0,0.5,0.0,1,NULL,NULL,NULL,0
62,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,0.5,0.0,1,NULL,NULL,NULL,0
62,SM24,NULL,NULL,NULL,NULL,0.0,0.0,0.5,0.0,1,NULL,NULL,NULL,0
63,BRN_,NULL,NULL,NULL,NULL,4.66,0.0,50.0,0.0932,1,NULL,NULL,NULL,0
63,CRAN,NULL,NULL,NULL,NULL,3.7599999999999993,0.0,50.0,0.07519999999999999,1,NULL,NULL,NULL,0
63,LTRK,NULL,NULL,NULL,NULL,1.96,0.0,50.0,0.0392,1,NULL,NULL,NULL,0
63,NC__,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
63,NC24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
63,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
63,SM24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
64,ANY24,NULL,NULL,NULL,NULL,0.39999999999999997,0.0,50.0,0.008,1,NULL,NULL,NULL,0
64,ANY120,NULL,NULL,NULL,NULL,2.246875,0.0,50.0,0.044937500000000005,1,NULL,NULL,NULL,0
64,AXIS,NULL,NULL,NULL,NULL,1.0727620967741935,0.0,50.0,0.02145524193548387,1,NULL,NULL,NULL,0
64,ALL_BUT_MORT,NULL,NULL,NULL,NULL,1.7044354838709679,0.0,50.0,0.03408870967741936,1,NULL,NULL,NULL,0
64,BRN_,NULL,NULL,NULL,NULL,0.7423790322580646,0.0,50.0,0.014847580645161292,1,NULL,NULL,NULL,0
64,CRAN,NULL,NULL,NULL,NULL,0.7423790322580646,0.0,50.0,0.014847580645161292,1,NULL,NULL,NULL,0
64,DP24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
64,EDEM,NULL,NULL,NULL,NULL,0.9123790322580645,0.0,50.0,0.01824758064516129,1,NULL,NULL,NULL,0
64,LTRK,NULL,NULL,NULL,NULL,0.7585080645161291,0.0,50.0,0.015170161290322582,1,NULL,NULL,NULL,0
64,MO24,NULL,NULL,NULL,NULL,0.39999999999999997,0.0,50.0,0.008,1,NULL,NULL,NULL,0
64,MORT,NULL,NULL,NULL,NULL,0.16451612903225804,0.0,50.0,0.003290322580645161,1,NULL,NULL,NULL,0
64,MUSC,NULL,NULL,NULL,NULL,0.7423790322580646,0.0,50.0,0.014847580645161292,1,NULL,NULL,NULL,0
64,NC__,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL,0
