Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,Modeled_Flag,DataQC_Flag,BMD10_Flag,BMD50_Flag,NumConc,Spearman_Correlation,bmdrc.Endpoint.ID
3351-28-8,DCFDA,gompertz,20.195527302899386,20.195527302899386,22.44685924485,11448.236,0.0,100.0,0.82382874,Pass,Moderate,Pass,Pass,4.0,0.6499276998540638,3351-28-8 DCFDA
3351-28-8,LDH,michaelis-mentin,13.171883175867316,,87.73130764503362,76403.3701,0.0,300.0,0.62425931,Pass,Moderate,Pass,Pass,5.0,0.6336649638160936,3351-28-8 LDH
3351-31-3,MMP,power,5.508543476864543,5.226587936937463,41.78441322597901,24032.2452,0.0,100.0,0.46906467,Pass,Moderate,Pass,Pass,4.0,0.8154753215150046,3351-31-3 MMP
14250-05-6,LDH,power,6.676960252178955e-51,,1.9662248457183527e-14,27750.0,0.0,100.0,0.31896552,Pass,Moderate,Pass,Pass,4.0,0.5890568324085792,14250-05-6 LDH
14250-05-6,MMP,gompertz,20.61924322381925,20.61924322381925,22.96187791545692,48955.8385,0.0,100.0,0.56743922,Pass,Moderate,Pass,Pass,4.0,0.7478894266623516,14250-05-6 MMP
14207-77-3,LDH,power,5.015838877355882e-08,,0.15868083144674341,27650.0,0.0,100.0,0.2684466,Pass,Moderate,Pass,Pass,4.0,0.7036334809605785,14207-77-3 LDH
2732-58-3,LDH,michaelis-mentin,4.756248652986982,,31.00778067244736,47450.0,0.0,100.0,0.48418367,Pass,Moderate,Pass,Pass,4.0,0.9498030587127713,2732-58-3 LDH
2732-58-3,MMP,michaelis-mentin,5.336762310528261,,33.660019093266044,22622.9035,0.0,100.0,0.47425533,Pass,Moderate,Pass,Pass,4.0,0.8032125347253053,2732-58-3 MMP
63041-84-9,LDH,gompertz,7.3258178776512075,5.233232391821247,15.46533178859714,8445.0,0.0,20.0,0.43504545,Pass,Moderate,Pass,Pass,4.0,0.8567684185103455,63041-84-9 LDH
63041-84-9,MMP,power,2.424978649664388e-08,2.5935079314275907e-12,0.025499910861325976,1533.9239,0.0,10.0,0.79828706,Pass,Moderate,Pass,Pass,4.0,0.8583950752789522,63041-84-9 MMP
316-49-4,MMP,michaelis-mentin,3.901346089647566,,26.760086195753367,34902.2924,0.0,100.0,0.57725811,Pass,Moderate,Pass,Pass,4.0,0.8443457725013004,316-49-4 MMP
74845-58-2,LDH,power,2.099573032066523,1.1300900323566314,19.25307756910104,7250.0,0.0,50.0,0.15190476,Pass,Moderate,Pass,Pass,3.0,0.47364151336832877,74845-58-2 LDH
3674-74-6,DCFDA,asymptotic,5.133561065352686e-05,,0.000337727407318095,10820.1372,0.0,100.0,0.86517753,Pass,Moderate,Pass,Pass,4.0,0.41693475084977677,3674-74-6 DCFDA
52689-26-6,DCFDA,michaelis-mentin,9.278827734803148,,47.93040896766099,10518.734,0.0,100.0,0.93774266,Pass,Moderate,Pass,Pass,3.0,0.7397336563608156,52689-26-6 DCFDA
52689-26-6,LDH,power,44.9622930605331,44.9622915127737,78.61347082205798,15727.2727,0.0,100.0,0.48962264,Pass,Moderate,Pass,Pass,3.0,0.7639872188644489,52689-26-6 LDH
52689-26-6,MMP,power,0.1599594361000688,,14.398693980422504,21009.6285,0.0,100.0,0.17142787,Pass,Moderate,Pass,Pass,4.0,0.6587771671404506,52689-26-6 MMP
604-83-1,DCFDA,michaelis-mentin,8.915389356232481,,46.834605053970584,10785.3874,0.0,100.0,0.91072522,Pass,Moderate,Pass,Pass,3.0,0.7882407813680822,604-83-1 DCFDA
604-83-1,LDH,gompertz,10.346105189585195,10.346105189585195,11.155666792920638,14060.6061,0.0,100.0,0.64444444,Pass,Moderate,Pass,Pass,4.0,0.7109582437190567,604-83-1 LDH
20291-75-2,DCFDA,power,8.972960409854177e-06,,0.8082663996698565,12850.8212,0.0,110.0,0.93630328,Pass,Moderate,Pass,Pass,4.0,0.6928474536180114,20291-75-2 DCFDA
