"Project","cas_number","Conc","Link","nGenes"
"HEPG2","100-01-6","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression",51
"HEPG2","100-01-6","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression",55
"HEPG2","100-01-6","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression",67
"HEPG2","100-51-6","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression",65
"HEPG2","100-51-6","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression",108
"HEPG2","100-51-6","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression",85
"HEPG2","100-51-6","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression",86
"HEPG2","100-51-6","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression",68
"HEPG2","100-51-6","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression",74
"HEPG2","100-97-0","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression",43
"HEPG2","100-97-0","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression",84
"HEPG2","100-97-0","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression",77
"HEPG2","100-97-0","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression",44
"HEPG2","100-97-0","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression",38
"HEPG2","100-97-0","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression",59
"HEPG2","101-21-3","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression",46
"HEPG2","101-21-3","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression",47
"HEPG2","101-21-3","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression",73
"HEPG2","101-21-3","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression",56
