Chemical_ID,End_Point,Dose,Response,CI_Lo,CI_Hi
1119,ANY24,0.0,0.1875,0.09860455310434049,0.16559155201375964
1119,ANY24,0.0064,0.15625,0.08760579717494293,0.16129149597530396
1119,ANY24,0.064,0.09375,0.061348448701633834,0.14843154728387867
1119,ANY24,0.64,0.125,0.07529865612519929,0.15568305481650224
1119,ANY24,6.4,0.21875,0.10851163747395814,0.1687999364924353
1119,ANY24,64.0,0.59375,0.17114975124617138,0.15105365157334572
1119,ANY120,0.0,0.1875,0.09860455310434049,0.16559155201375964
1119,ANY120,0.0064,0.1875,0.09860455310434049,0.16559155201375964
1119,ANY120,0.064,0.15625,0.08760579717494293,0.16129149597530396
1119,ANY120,0.64,0.125,0.07529865612519929,0.15568305481650224
1119,ANY120,6.4,0.34375,0.1396456207556683,0.1731391202103778
1119,ANY120,64.0,0.8125,0.16559155201375964,0.09860455310434046
1119,TOT_MORT,0.0,0.15625,0.08760579717494293,0.16129149597530396
1119,TOT_MORT,0.0064,0.125,0.07529865612519929,0.15568305481650224
1119,TOT_MORT,0.064,0.125,0.07529865612519929,0.15568305481650224
1119,TOT_MORT,0.64,0.125,0.07529865612519929,0.15568305481650224
1119,TOT_MORT,6.4,0.1875,0.09860455310434049,0.16559155201375964
1119,TOT_MORT,64.0,0.21875,0.10851163747395814,0.1687999364924353
1119,ANY_MORT,0.0,0.03125,0.025712139835996878,0.12619263820012558
1119,ANY_MORT,0.0064,0.0625,0.04518943296835905,0.13897123144154583
1119,ANY_MORT,0.064,0.03125,0.025712139835996878,0.12619263820012558
1119,ANY_MORT,0.64,0.0,0.0,0.1071791982550706
1119,ANY_MORT,6.4,0.1875,0.09860455310434049,0.16559155201375964
1119,ANY_MORT,64.0,0.6875,0.17316678300955413,0.13297458366390258
1119,BRN_,0.0,0.037037037037037035,0.030468891056251904,0.1457976222987214
1119,BRN_,0.0064,0.0,0.0,0.12064330476584564
1119,BRN_,0.064,0.0,0.0,0.12064330476584564
1119,BRN_,0.64,0.0,0.0,0.12064330476584564
1119,BRN_,6.4,0.0,0.0,0.1287289218592153
1119,BRN_,64.0,0.0,1.3877787807814457e-17,0.13319225093904846
1119,CRAN,0.0,0.037037037037037035,0.030468891056251904,0.1457976222987214
1119,CRAN,0.0064,0.0,0.0,0.12064330476584564
1119,CRAN,0.064,0.0,0.0,0.12064330476584564
1119,CRAN,0.64,0.0,0.0,0.12064330476584564
1119,CRAN,6.4,0.07692307692307693,0.05556798845080073,0.16449246079321367
1119,CRAN,64.0,0.08,0.05777959871515238,0.16966108950395314
1119,EDEM,0.0,0.037037037037037035,0.030468891056251904,0.1457976222987214
1119,EDEM,0.0064,0.03571428571428571,0.029381765865247947,0.1414076917192475
1119,EDEM,0.064,0.03571428571428571,0.029381765865247947,0.1414076917192475
1119,EDEM,0.64,0.0,0.0,0.12064330476584564
