chem_lims_num,date_deployed,date_sampled,latitude,longitude,primary_loc,psds_per_ml,sample_matrix,sample_name,sample_parent,secondary_loc,technology,zaap_cid,extract_exp,zf_lims_id,measurement_value,unit,cas_number
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,53-70-3
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,548-39-0
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,130.919676,pg/ul,56-55-3
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,210,pg/ul,569-15-3
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,11.2806208,pg/ul,573-98-8
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,40,pg/ul,5737-13-3
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,44.6370368,pg/ul,575-43-9
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,613-06-9
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,44.0112204,pg/ul,613-12-7
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,635-12-1
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,11/1/6373
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,779-02-2
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,40,pg/ul,82-05-3
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,82-86-0
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,66.626458,pg/ul,83-32-9
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,84-11-7
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,84-51-5
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,110,pg/ul,84-65-1
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,463.173228,pg/ul,85-01-8
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,108.4560656,pg/ul,86-73-7
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,57.2970944,pg/ul,90-12-0
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,0,pg/ul,90-47-1
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,27.3532224,pg/ul,91-20-3
10OCT18-03-001,None,2010-10-14 00:00:00+00:00,None,None,FL,5,PSD-Water,10OCT-03-001,None,Fort Pickens,LFT - Unfortified,1865,86,10OCT18-03-005,107.9373248,pg/ul,91-57-6
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,1090-13-7
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,109699-80-1
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,1054.683774,pg/ul,129-00-0
