,ALL_BUT_MORT,ANY120,ANY24,AXIS,BRN_,CRAN,DP24,EDEM,LTRK,MO24,MORT,MUSC,NC24,NC__,SKIN,SM24,TCHR,TOT_MORT
694,0,0,0,0,0,0,0,0,0,1,1,1,,,,,1,0
696,1,,,,,,,,,,,,,,,,1,
697,,1,1,,,,,,,1,,,,1,,,,1
702,0,0,1,0,0,0,1,0,0,0,0,0,,,0,,0,0
721,0,0,0,1,0,0,0,0,1,1,1,,,,,,1,0
722,0,0,0,0,1,0,0,0,0,,0,,,,,,,0
740,0,0,0,,,1,0,1,,1,0,,,,,,,0
741,1,0,0,,,,1,,,0,1,,,,,,,0
746,1,0,1,1,1,1,,1,1,1,1,,,1,,,,1
747,0,0,0,0,,0,,0,1,0,0,,,,,,0,0
768,0,0,0,0,,1,0,0,1,0,0,,,,,,1,0
769,1,1,1,,,1,,1,,1,1,,,,,,,1
770,,,,1,,,,,1,,,1,,1,,,,
771,0,0,1,0,0,1,,1,1,1,1,1,,,1,,1,1
774,1,0,,1,1,1,,1,1,,1,1,,1,,,1,0
775,1,0,1,0,1,1,,1,1,1,0,1,,,,,,0
776,,,,,,,,,,,,,,,,,,
777,-1,0,0,-1,-1,0,0,0,1,,0,,,,,,1,0
778,-1,-1,0,0,0,0,0,0,0,0,0,,,,,,-1,0
946,0,0,,0,0,0,,0,0,,0,0,,1,,,0,0
947,,,,,,,,,,,,,,,,,,
948,,0,0,,,,,,,0,0,,,,,,,0
949,1,1,1,1,1,,,1,,1,1,1,,,1,,1,1
951,1,1,,,,1,,,,,,,,,,,1,
952,0,0,,1,0,0,,0,,,1,,,,,,,
961,1,,,1,1,1,,1,1,,1,,,,,,1,
965,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
966,,0,0,1,,1,,,,0,1,,,,,,,0
998,-1,-1,1,-1,0,-1,,0,-1,1,1,1,,-1,,,0,0
1030,,,1,,,,,,,1,,,,,,,,1
1031,0,1,1,1,1,1,1,1,1,,1,1,1,1,,,,1
1105,0,0,1,1,,,1,,0,,,,,,,,,
1114,,,0,0,0,0,,0,0,0,0,1,,,,,0,
1119,0,0,0,0,,1,0,,,,1,,,,,,,1
1161,0,0,0,0,0,0,,0,,0,0,,,,,,0,0
1163,0,0,1,0,0,0,,0,0,1,1,1,,1,,,0,0
1166,0,0,1,0,0,0,,0,0,1,1,0,,,,,,1
1167,0,0,,1,,0,1,,1,,,,,,1,,1,
1171,0,0,,1,0,0,,0,0,,1,,,,,,,1
1172,1,1,,,1,1,1,1,1,,,1,,,,,1,
1174,,,,,1,,,1,,,,,,,,,,
1175,1,0,1,,1,1,,1,1,1,1,,,,,,,0
1176,0,0,,1,0,,,0,,,,,,,,,1,
1177,1,0,,1,1,1,,1,1,,1,1,,1,,,1,1
1178,1,0,0,,,,1,,,1,,,,,,,,1
1179,,,1,,,,,,,1,1,1,,,,,,1
1180,0,0,,1,0,1,,0,0,,1,1,,,,,1,1
1182,-1,-1,0,0,0,0,1,0,-1,0,0,,1,,,1,1,0
1183,1,,1,1,,1,,1,,1,,,,,,,,
1187,1,,,,,,1,,,,,,,,,,,
1211,0,0,1,0,0,0,,0,0,1,0,,,,,,1,0
1221,,,0,1,,,,1,1,0,,,,,,,1,
1268,,,1,,,,,,,0,1,,,,,,,1
1271,0,0,,0,0,0,0,0,0,,0,0,,,,,0,0
1273,0,0,,,0,0,1,,,,,,,,,,0,
1307,,,,,,,,,,,,1,,,,,,
1310,,,,,,,,1,,1,,,,,,,,
1316,0,0,0,0,1,0,0,0,,1,0,,,,,,1,0
1327,1,,,,,,1,1,1,,,,,,,,,
1354,,,,,,,1,,,,1,,,,,,,
1363,0,0,0,0,0,0,0,,0,0,0,1,,,,,,0
1370,1,1,1,1,1,1,,1,,1,,,,,,,,1
1371,1,0,0,1,1,1,1,1,1,,,,,,,,,
1383,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0
1391,0,0,,0,,0,,0,0,,,,,,,,0,
1449,,1,,,1,,,,,,1,,,,,,,1
1450,1,1,1,1,,,,,1,,0,,,,,,,0
1454,1,,,,,,1,,,,,,,,,,,
1455,,1,1,,,,1,,,0,0,,,,,,1,0
1532,1,,,,,,1,,,,,,,,,,,
1535,0,0,0,,1,0,0,1,,0,0,,,,1,,1,0
1540,,,,1,,,,,1,,,1,,,1,,1,
1595,-1,-1,,-1,-1,-1,,-1,-1,,-1,,,,,,0,
1600,0,1,,,1,0,1,,1,,,,,,,,,
1603,,0,,,,,,,,,0,,,,,,,0
1606,0,0,0,,,,0,,,0,0,,,,,,,0
1608,,,,,,,0,,1,,,1,,1,1,,1,
1610,0,0,0,,0,1,0,1,1,0,0,,,,,,,0
1611,0,0,,,0,0,,0,0,,,,,1,,,,
1612,,1,,,,,,,,1,1,,,,,,,1
1613,1,1,,1,1,1,,1,1,,1,1,,,,,1,
1614,0,0,0,0,0,0,0,0,0,1,0,,,,,,0,0
1615,,,,,,,,,,1,,,,,,,,
1616,0,0,0,0,0,0,0,0,0,1,0,,,,,,0,0
1617,0,0,,,1,,,,0,,,,,,0,,,
1618,,,,,,,,,,,,,,,,,,
1619,,0,,,,,,,,1,0,,,,,,,0
1620,1,0,,,1,1,,1,1,,0,,,,,,1,0
1627,1,1,1,1,,,1,,,,1,,,,,,,1
1629,0,0,1,0,0,0,,0,0,1,1,1,,,,,0,0
1631,,,1,,,,1,,,,1,,,,,,,1
1651,,0,0,,,,,1,,0,0,,,,,,,0
1664,,,,1,1,,1,,1,,,,,,,,1,
1666,1,0,0,1,1,1,0,1,1,1,,1,,1,1,,,
1670,,,,,,,,,,,1,,,,,,,1
1677,0,0,,0,0,0,0,0,0,,,0,,,1,,0,
1689,0,0,1,0,1,0,1,0,0,1,1,0,,1,,,0,1
1694,,,,,1,,,,,,,1,,,,,1,
1704,,,,,,,,,,,-1,,,,,,,-1
1706,1,,,1,1,1,,1,,,,1,,,,,,
1762,,,,,,1,,,,,,,,,,,,
1764,0,0,0,0,0,0,1,0,0,1,0,0,,,,1,0,0
1770,0,0,0,0,0,0,,0,0,0,0,,,,,,,0
1771,1,1,1,1,,1,,1,1,1,1,,,,,,,1
1790,,1,-1,,,,,,,-1,-1,,,,,,,-1
1796,1,,1,,,,1,,,,,,,,,,1,
1807,0,,1,1,1,1,1,0,1,,,1,,,,,1,
1808,1,1,,1,,1,,1,1,,,,,,,,1,
1809,1,,1,,,,1,,,,,,,,,,,
1816,1,0,0,1,1,1,,0,1,0,,,,1,,,,
1827,,,0,,,,,,,0,0,,,,,,,0
1845,1,1,1,,,1,1,1,,,,1,,,,,,
1846,0,0,0,1,1,,0,,1,1,0,1,,,1,,1,0
1853,0,,,1,1,1,,0,1,,,1,,,1,,1,
1854,,0,1,,,,,,,1,0,,,1,1,,1,0
1855,1,1,1,1,,,1,,1,,1,1,1,1,,,1,1
1861,0,0,0,,0,0,0,0,1,0,0,1,,1,0,,1,0
1890,0,0,0,1,,0,0,0,,,,,,,,,,
1906,,,,1,1,1,,1,1,,,1,,,,,1,
1912,,,,,,1,,,,,,,,,,,,
1929,,,,1,1,1,,1,1,,,1,,,1,,,
1930,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0
1944,1,,,,,,,,,,,,,1,,,1,
1961,,1,0,,,,1,,,0,-1,,,,,,,-1
1965,0,0,0,,,,1,1,,0,1,,,,,,1,0
1967,1,1,1,,1,1,1,1,,1,,,,,,,,1
1968,1,,,,,,,,,1,,,,,,,,
1982,1,,0,1,1,1,,1,1,1,,1,,,,,,
2058,-1,-1,0,-1,0,1,0,-1,1,0,0,,,,,,0,0
2067,1,1,1,1,1,1,,,1,1,,,,,,,,1
2098,,,,,,,,,,,,,,,,,,
2103,0,0,1,0,1,0,1,0,0,,0,,,0,,1,1,0
2104,0,0,0,0,0,0,0,0,0,1,,0,,,,,0,
2105,0,0,,,,,1,0,,,,,,0,,,,
2137,,,,,,,,,,,,,,,,,,
2141,1,0,,1,0,0,1,0,1,1,0,1,,,0,,1,0
2142,,0,,0,0,,,0,1,,0,,,,,,0,0
2154,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1
2156,1,,,1,1,1,,1,1,,,1,,,1,,1,
2159,1,0,1,1,1,1,,1,1,1,0,1,,,1,1,1,0
2165,0,0,0,0,0,0,0,0,1,,0,0,,,,,,0
2185,1,0,1,1,1,1,1,1,,1,0,,,,,,,0
2186,,,1,1,,1,,1,,,,,,,1,,,
2187,0,0,,,1,0,1,0,1,,,1,,,1,,1,
2191,1,,,,,,1,,,,,,,,,,,
2323,1,1,1,,,,,,,1,,,,,,,,1
2324,,,,,,,,,,,,,,,,,,
2325,1,1,1,1,1,1,,1,,1,,1,,,,,1,1
2326,,,,,,,,,,,1,,,,,,,1
2327,,,1,1,1,,1,,,,,,1,1,,1,,
2328,,,,,,,,,1,,,,,,,,,
2371,1,,,,,,,,1,,,,,,,,,
2373,,,,,,,,,1,,,,,,,,,
2374,,,,1,1,1,,1,,,,,,,,,,
2406,1,0,0,,1,,0,,1,0,0,1,,,1,,,0
2411,,,,,,,1,,,,,,,,,,,
2413,1,1,,,,,,,,,,,,,,,1,
2414,1,1,0,1,1,1,1,,1,1,1,1,,,,,,1
2415,,,,,,1,,1,,,,,,,,,,
2417,,,,,,,,,1,,,,,,,,,
2432,0,,,,1,0,,1,,,,1,,,,,,
2467,,,1,,,,,,,1,0,,,,,,,0
2496,,,,,,,,1,,,1,,,,1,,,1
2506,,,,,,,,,,,,,,,,,1,
2509,-1,-1,-1,,,,-1,,,0,-1,,,,,,,-1
2532,0,0,0,0,0,0,,0,0,0,0,,,,,,1,0
2573,0,0,0,,1,-1,0,1,-1,0,0,1,,,,,,0
2596,0,,,1,,1,,,1,,,,,,,,,
2601,,0,0,0,0,0,,0,0,0,0,0,,1,,,1,0
2635,,0,1,1,1,1,,,1,1,1,1,,1,1,,1,0
2637,1,,,,,,,,1,,,,,,,,,
2638,1,0,0,,,,,,,0,0,,,,,,,0
2655,1,1,1,,,1,,1,,1,1,1,,,,,,1
2657,0,0,0,0,,0,0,0,,0,0,,,,,,,0
2661,,,,,,,,,,,,,,,,,,
2686,,0,,,,,,,,,0,,,,,,0,0
2688,,,,,,,,,,,,,,,,,,
2691,0,0,0,0,1,1,1,0,0,1,0,,,,1,,1,0
2706,0,0,1,0,1,1,,1,0,0,0,1,,1,,,1,0
2723,,,,,1,1,,,1,1,,1,,1,1,,1,
2726,0,0,0,0,0,0,1,0,0,,0,0,,,0,,0,0
