chemical.id,bottle.id,conc,plate.id,well,date,endpoint,value
3756,C761434,0.0,20544,H01,20200701,MO24,0.0
3756,C761434,0.0,20544,H02,20200701,MO24,1.0
3756,C761434,0.0,20544,H03,20200701,MO24,0.0
3756,C761434,0.0,20544,H04,20200701,MO24,0.0
3756,C761434,0.0,20544,H05,20200701,MO24,0.0
3756,C761434,0.0,20544,H06,20200701,MO24,0.0
3756,C761434,0.0,20544,H07,20200701,MO24,0.0
3756,C761434,0.0,20544,H08,20200701,MO24,1.0
3756,C761434,0.0,20544,H09,20200701,MO24,0.0
3756,C761434,0.0,20544,H10,20200701,MO24,0.0
3756,C761434,0.0,20544,H11,20200701,MO24,0.0
3756,C761434,0.0,20544,H12,20200701,MO24,0.0
3756,C761434,0.0,20624,H01,20200701,MO24,0.0
3756,C761434,0.0,20624,H02,20200701,MO24,0.0
3756,C761434,0.0,20624,H03,20200701,MO24,0.0
3756,C761434,0.0,20624,H04,20200701,MO24,0.0
3756,C761434,0.0,20624,H05,20200701,MO24,1.0
3756,C761434,0.0,20624,H06,20200701,MO24,0.0
3756,C761434,0.0,20624,H07,20200701,MO24,0.0
3756,C761434,0.0,20624,H08,20200701,MO24,0.0
3756,C761434,0.0,20624,H09,20200701,MO24,0.0
3756,C761434,0.0,20624,H10,20200701,MO24,1.0
3756,C761434,0.0,20624,H11,20200701,MO24,0.0
3756,C761434,0.0,20624,H12,20200701,MO24,0.0
3756,C761434,0.0,20625,H01,20200701,MO24,0.0
3756,C761434,0.0,20625,H02,20200701,MO24,0.0
3756,C761434,0.0,20625,H03,20200701,MO24,0.0
3756,C761434,0.0,20625,H04,20200701,MO24,0.0
3756,C761434,0.0,20625,H05,20200701,MO24,0.0
3756,C761434,0.0,20625,H06,20200701,MO24,0.0
3756,C761434,0.0,20625,H07,20200701,MO24,0.0
3756,C761434,0.0,20625,H08,20200701,MO24,0.0
3756,C761434,0.0,20625,H09,20200701,MO24,0.0
3756,C761434,0.0,20625,H10,20200701,MO24,0.0
3756,C761434,0.0,20625,H11,20200701,MO24,0.0
3756,C761434,0.0,20625,H12,20200701,MO24,0.0
3756,C761434,2.16,20544,G01,20200701,MO24,0.0
3756,C761434,2.16,20544,G02,20200701,MO24,0.0
3756,C761434,2.16,20544,G03,20200701,MO24,0.0
3756,C761434,2.16,20544,G04,20200701,MO24,0.0
3756,C761434,2.16,20544,G05,20200701,MO24,0.0
3756,C761434,2.16,20544,G06,20200701,MO24,1.0
3756,C761434,2.16,20544,G07,20200701,MO24,0.0
3756,C761434,2.16,20544,G08,20200701,MO24,0.0
3756,C761434,2.16,20544,G09,20200701,MO24,0.0
3756,C761434,2.16,20544,G10,20200701,MO24,0.0
3756,C761434,2.16,20544,G11,20200701,MO24,0.0
3756,C761434,2.16,20544,G12,20200701,MO24,0.0
3756,C761434,2.16,20624,G01,20200701,MO24,0.0
3756,C761434,2.16,20624,G02,20200701,MO24,0.0
3756,C761434,2.16,20624,G03,20200701,MO24,0.0
