Chemical_ID,End_Point,Model,BMD10,BMD50,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag
1515,AXIS,NULL,NULL,NULL,0,0.0001,0.016129032,0,NULL,NULL,NULL
1515,BRN_,NULL,NULL,NULL,0,0.0001,0.048387097,0,NULL,NULL,NULL
1515,CRAN,NULL,NULL,NULL,0,0.0001,0.048387097,0,NULL,NULL,NULL
1515,EDEM,NULL,NULL,NULL,0,0.0001,0.048387097,0,NULL,NULL,NULL
1515,LTRK,NULL,NULL,NULL,0,0.0001,0.080645161,0,NULL,NULL,NULL
1515,MUSC,NULL,NULL,NULL,0,0.0001,0.016129032,0,NULL,NULL,NULL
1515,NC__,NULL,NULL,NULL,0,0.0001,0,0,NULL,NULL,NULL
1515,SKIN,NULL,NULL,NULL,0,0.0001,0,0,NULL,NULL,NULL
1515,TCHR,NULL,NULL,NULL,0,0.0001,0.016129032,0,NULL,NULL,NULL
1519,AXIS,NULL,NULL,NULL,0,0.0001,0,0,NULL,NULL,NULL
1519,BRN_,NULL,NULL,NULL,0,0.0001,0.046875,0,NULL,NULL,NULL
1519,CRAN,NULL,NULL,NULL,0,0.0001,0.015625,0,NULL,NULL,NULL
1519,EDEM,NULL,NULL,NULL,0,0.0001,0.03125,0,NULL,NULL,NULL
1519,LTRK,NULL,NULL,NULL,0,0.0001,0.296875,0,NULL,NULL,NULL
1519,MUSC,NULL,NULL,NULL,0,0.0001,0.015625,0,NULL,NULL,NULL
1519,NC__,NULL,NULL,NULL,0,0.0001,0,0,NULL,NULL,NULL
1519,SKIN,NULL,NULL,NULL,0,0.0001,0,0,NULL,NULL,NULL
1519,TCHR,NULL,NULL,NULL,0,0.0001,0,0,NULL,NULL,NULL
101,ANY120,NULL,NULL,NULL,0,0.01,0.07609375,1,NULL,NULL,NULL
101,AXIS,NULL,NULL,NULL,0,0.01,0.003225806,1,NULL,NULL,NULL
101,ALL_BUT_MORT,NULL,NULL,NULL,0,0.01,0.01346948,1,NULL,NULL,NULL
101,BRN_,NULL,NULL,NULL,0,0.01,0.012013163,1,NULL,NULL,NULL
101,CRAN,NULL,NULL,NULL,0,0.01,0.003392473,1,NULL,NULL,NULL
101,DP24,NULL,NULL,NULL,0,0.01,0.01174569,1,NULL,NULL,NULL
101,EDEM,NULL,NULL,NULL,0,0.01,0.012013163,1,NULL,NULL,NULL
101,MORT,NULL,NULL,NULL,0,0.01,0.008175403,1,NULL,NULL,NULL
101,MUSC,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
101,NC__,NULL,NULL,NULL,0,0.01,0.001612903,1,NULL,NULL,NULL
101,NC24,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
101,SKIN,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
101,SM24,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
101,TCHR,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
102,NC__,NULL,NULL,NULL,0,0.001,0,1,NULL,NULL,NULL
102,NC24,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
102,SKIN,NULL,NULL,NULL,0,0.001,0,1,NULL,NULL,NULL
102,SM24,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
103,MO24,NULL,NULL,NULL,0,0.01,0.0284375,1,NULL,NULL,NULL
103,NC__,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
103,NC24,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
103,SKIN,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
103,SM24,NULL,NULL,NULL,0,0.01,0,1,NULL,NULL,NULL
792,ANY24,NULL,NULL,NULL,0,10,0.29125,1,NULL,NULL,NULL
